# CDS alignment filter
# PYTHON VERSION: 3.9.12
# Script call:    06_aln_filter.py -i ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln/ -f 175 -o ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats/ --count
# Runtime:        08/27/2022 19:56:07
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50
# --count set:            Will not output sequences.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50/aln-stats-f175-seq20-site50.tab
# ----------------
# 08.27.2022 | 19:56:07 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre variant sites	pre informative sites	pre stop codons	pre percent sites with gap	pre gappy sites
ENSMUSP00000099302-mafft-cds.filter.fa	145	515	502.99310344827586	145	0	0	14995	59680	NA	0	340	340
ENSMUSP00000099304-mafft-cds.filter.fa	144	96	94.82638888888889	124	6	0	2601	11223	NA	0	18	18
ENSMUSP00000099307-mafft-cds.filter.fa	94	247	231.29787234042553	92	1	0	3626	19592	NA	0	85	80
ENSMUSP00000099318-mafft-cds.filter.fa	125	682	662.8	125	0	0	18511	66739	NA	0	379	378
ENSMUSP00000099321-mafft-cds.filter.fa	147	687	664.4557823129252	147	0	0	17433	83556	NA	0	478	476
ENSMUSP00000099322-mafft-cds.filter.fa	139	1037	1012.863309352518	137	1	0	27011	117132	NA	0	676	675
ENSMUSP00000099324-mafft-cds.filter.fa	84	149	136.66666666666666	80	2	0	4525	7991	NA	0	41	32
ENSMUSP00000099326-mafft-cds.filter.fa	122	460	424.41803278688525	122	0	0	15613	40507	NA	0	87	86
ENSMUSP00000099329-mafft-cds.filter.fa	111	134	125.25225225225225	109	1	0	3526	11348	NA	0	29	28
ENSMUSP00000099349-mafft-cds.filter.fa	135	154	153.9925925925926	133	1	0	7260	13530	NA	0	0	0
ENSMUSP00000099360-mafft-cds.filter.fa	150	212	210.48	142	4	0	9671	22129	NA	0	18	17
ENSMUSP00000099364-mafft-cds.filter.fa	146	277	273.4109589041096	146	0	0	14857	25585	NA	0	67	67
ENSMUSP00000099366-mafft-cds.filter.fa	122	549	506.3360655737705	122	0	0	10730	56248	NA	0	337	337
ENSMUSP00000099370-mafft-cds.filter.fa	147	640	607.2857142857143	147	0	0	20021	74059	NA	0	362	362
ENSMUSP00000099375-mafft-cds.filter.fa	108	597	583.0462962962963	108	0	0	13207	51269	NA	0	280	278
ENSMUSP00000099388-mafft-cds.filter.fa	154	833	792.9415584415584	154	0	0	25360	102922	NA	0	552	542
ENSMUSP00000099396-mafft-cds.filter.fa	74	274	270.6621621621622	74	0	0	8477	11799	NA	0	36	34
ENSMUSP00000099397-mafft-cds.filter.fa	132	1166	1075.7045454545455	132	0	0	26731	127181	NA	0	621	615
ENSMUSP00000099398-mafft-cds.filter.fa	160	1262	1229.5625	160	0	0	48867	153053	NA	0	529	528
ENSMUSP00000099403-mafft-cds.filter.fa	159	476	466.23899371069183	159	0	0	17019	58665	NA	0	255	255
ENSMUSP00000099408-mafft-cds.filter.fa	121	276	270.87603305785126	121	0	0	8041	25355	NA	0	24	20
ENSMUSP00000099409-mafft-cds.filter.fa	124	372	368.3790322580645	124	0	0	14064	32064	NA	0	115	115
ENSMUSP00000099416-mafft-cds.filter.fa	124	452	430.241935483871	124	0	0	10723	45325	NA	0	224	221
ENSMUSP00000099421-mafft-cds.filter.fa	131	175	171.24427480916032	121	5	0	5474	17451	NA	0	84	83
ENSMUSP00000099423-mafft-cds.filter.fa	146	357	356.3013698630137	146	0	0	12207	39915	NA	0	27	27
ENSMUSP00000099430-mafft-cds.filter.fa	139	178	175.5107913669065	135	2	0	4753	19989	NA	0	59	59
ENSMUSP00000099432-mafft-cds.filter.fa	84	316	272.9761904761905	84	0	0	9749	16795	NA	0	170	144
ENSMUSP00000099435-mafft-cds.filter.fa	128	107	105.1640625	128	0	0	1978	11718	NA	0	20	19
ENSMUSP00000099433-mafft-cds.filter.fa	136	616	563.2132352941177	136	0	0	16526	67250	NA	0	372	372
ENSMUSP00000099441-mafft-cds.filter.fa	135	291	287.8296296296296	133	1	0	8516	30769	NA	0	65	65
ENSMUSP00000099443-mafft-cds.filter.fa	133	93	91.88721804511279	114	4	0	4704	7665	NA	0	1	0
ENSMUSP00000099446-mafft-cds.filter.fa	142	74	73.55633802816901	116	8	0	2940	7568	NA	0	2	2
ENSMUSP00000099451-mafft-cds.filter.fa	132	308	303.3181818181818	132	0	0	9139	31517	NA	0	66	65
ENSMUSP00000099453-mafft-cds.filter.fa	152	454	430.0855263157895	152	0	0	14763	54245	NA	0	148	146
ENSMUSP00000099466-mafft-cds.filter.fa	140	509	488.73571428571427	140	0	0	9991	61269	NA	0	337	336
ENSMUSP00000099468-mafft-cds.filter.fa	159	1185	1133.6666666666667	159	0	0	34068	154347	NA	0	783	780
ENSMUSP00000099484-mafft-cds.filter.fa	125	59	58.936	96	9	0	1907	5468	NA	0	1	1
ENSMUSP00000099490-mafft-cds.filter.fa	89	1976	1798.2359550561798	89	0	0	39070	136794	NA	0	1164	1163
ENSMUSP00000099502-mafft-cds.filter.fa	139	314	308.7841726618705	139	0	0	13335	30311	NA	0	119	119
ENSMUSP00000099512-mafft-cds.filter.fa	120	114	113.925	114	3	0	3791	9889	NA	0	1	1
ENSMUSP00000099515-mafft-cds.filter.fa	79	172	171.9746835443038	79	0	0	6066	7522	NA	0	0	0
ENSMUSP00000099523-mafft-cds.filter.fa	126	209	203.06349206349208	126	0	0	5450	20884	NA	0	46	45
ENSMUSP00000099526-mafft-cds.filter.fa	153	225	221.45098039215685	151	1	0	7895	26530	NA	0	14	11
ENSMUSP00000099532-mafft-cds.filter.fa	141	133	132.5531914893617	124	7	0	5061	13692	NA	0	18	18
ENSMUSP00000101695-mafft-cds.filter.fa	162	105	104.9753086419753	133	11	0	4601	12409	NA	0	1	1
ENSMUSP00000101713-mafft-cds.filter.fa	98	209	198.25510204081633	96	1	0	7270	13212	NA	0	43	42
ENSMUSP00000101721-mafft-cds.filter.fa	134	75	74.97014925373135	98	13	0	3214	6836	NA	0	0	0
ENSMUSP00000101741-mafft-cds.filter.fa	155	417	409.9032258064516	153	1	0	15976	48659	NA	0	228	227
ENSMUSP00000101787-mafft-cds.filter.fa	102	151	148.6078431372549	85	6	0	4132	11270	NA	0	16	14
ENSMUSP00000101754-mafft-cds.filter.fa	153	137	134.12418300653596	141	5	0	4706	16255	NA	0	16	14
ENSMUSP00000101784-mafft-cds.filter.fa	147	278	275.2857142857143	147	0	0	9844	31022	NA	0	55	55
ENSMUSP00000101800-mafft-cds.filter.fa	141	43	41.0	79	12	0	2040	4023	NA	0	5	3
ENSMUSP00000101723-mafft-cds.filter.fa	135	303	296.1703703703704	135	0	0	9787	31118	NA	0	91	91
ENSMUSP00000101803-mafft-cds.filter.fa	141	202	198.4255319148936	137	2	0	8775	19707	NA	0	50	49
ENSMUSP00000101811-mafft-cds.filter.fa	151	536	516.774834437086	151	0	0	11620	69316	NA	0	417	416
ENSMUSP00000101830-mafft-cds.filter.fa	107	66	64.3177570093458	90	6	0	2255	4807	NA	0	11	10
ENSMUSP00000101834-mafft-cds.filter.fa	135	286	277.0	135	0	0	7279	31331	NA	0	83	83
ENSMUSP00000101840-mafft-cds.filter.fa	148	259	255.27027027027026	146	1	0	12252	26080	NA	0	73	73
ENSMUSP00000101851-mafft-cds.filter.fa	130	205	194.09230769230768	128	1	0	4982	21668	NA	0	62	62
ENSMUSP00000101857-mafft-cds.filter.fa	143	636	611.4125874125874	143	0	0	12026	78922	NA	0	519	518
ENSMUSP00000101866-mafft-cds.filter.fa	151	748	725.0198675496689	151	0	0	13301	99647	NA	0	486	485
ENSMUSP00000101896-mafft-cds.filter.fa	147	400	396.19727891156464	147	0	0	14547	44253	NA	0	137	136
ENSMUSP00000101903-mafft-cds.filter.fa	137	597	559.1167883211679	137	0	0	9269	72520	NA	0	403	401
ENSMUSP00000101951-mafft-cds.filter.fa	154	1624	1553.7272727272727	154	0	0	55122	194974	NA	0	1009	998
ENSMUSP00000101978-mafft-cds.filter.fa	158	195	190.5	156	1	0	5618	25192	NA	0	84	84
ENSMUSP00000101999-mafft-cds.filter.fa	31	223	188.0	28	1	0	4762	2151	NA	0	35	0
ENSMUSP00000102047-mafft-cds.filter.fa	127	335	315.56692913385825	127	0	0	7811	34734	NA	0	101	100
ENSMUSP00000102049-mafft-cds.filter.fa	154	355	348.40909090909093	154	0	0	8885	45785	NA	0	87	87
ENSMUSP00000102062-mafft-cds.filter.fa	109	131	126.8256880733945	104	2	0	2242	12037	NA	0	22	21
ENSMUSP00000102140-mafft-cds.filter.fa	98	124	123.75510204081633	92	3	0	4403	7749	NA	0	1	1
ENSMUSP00000102147-mafft-cds.filter.fa	131	140	136.46564885496184	131	0	0	2720	15620	NA	0	35	33
ENSMUSP00000102152-mafft-cds.filter.fa	156	627	600.0769230769231	156	0	0	8826	88986	NA	0	550	550
ENSMUSP00000102153-mafft-cds.filter.fa	145	566	549.9586206896552	145	0	0	17695	64375	NA	0	260	258
ENSMUSP00000102241-mafft-cds.filter.fa	142	329	328.5774647887324	142	0	0	16265	30453	NA	0	22	22
ENSMUSP00000102288-mafft-cds.filter.fa	92	280	278.6521739130435	92	0	0	9141	16619	NA	0	50	50
ENSMUSP00000102357-mafft-cds.filter.fa	159	1567	1496.7106918238994	159	0	0	35380	213773	NA	0	1248	1236
ENSMUSP00000102368-mafft-cds.filter.fa	54	314	283.72222222222223	54	0	0	5576	11380	NA	0	94	75
ENSMUSP00000102374-mafft-cds.filter.fa	61	2687	2332.6393442622953	61	0	0	49469	114438	NA	0	1164	958
ENSMUSP00000102456-mafft-cds.filter.fa	74	486	430.3243243243243	74	0	0	13183	22781	NA	0	228	193
ENSMUSP00000102516-mafft-cds.filter.fa	144	884	826.7916666666666	144	0	0	16288	111008	NA	0	666	663
ENSMUSP00000102552-mafft-cds.filter.fa	153	615	580.5098039215686	153	0	0	21999	72096	NA	0	389	388
ENSMUSP00000102628-mafft-cds.filter.fa	130	74	73.01538461538462	116	4	0	2749	6871	NA	0	2	1
ENSMUSP00000102639-mafft-cds.filter.fa	143	434	418.9160839160839	143	0	0	12922	49140	NA	0	148	143
ENSMUSP00000102642-mafft-cds.filter.fa	133	895	811.9022556390977	133	0	0	20379	98656	NA	0	564	562
ENSMUSP00000102715-mafft-cds.filter.fa	104	310	297.1730769230769	104	0	0	7562	24678	NA	0	72	66
ENSMUSP00000102722-mafft-cds.filter.fa	150	365	357.49333333333334	148	1	0	15404	39346	NA	0	195	193
ENSMUSP00000102740-mafft-cds.filter.fa	151	727	700.6754966887418	151	0	0	33108	76669	NA	0	396	393
ENSMUSP00000102782-mafft-cds.filter.fa	107	216	203.61682242990653	105	1	0	4337	18775	NA	0	55	55
ENSMUSP00000102794-mafft-cds.filter.fa	134	423	409.7686567164179	134	0	0	19044	37638	NA	0	110	105
ENSMUSP00000102873-mafft-cds.filter.fa	159	91	90.9622641509434	126	12	0	3940	10529	NA	0	2	2
ENSMUSP00000102905-mafft-cds.filter.fa	141	482	455.45390070921985	141	0	0	15402	52560	NA	0	347	347
ENSMUSP00000102923-mafft-cds.filter.fa	138	166	165.79710144927537	125	5	0	9133	13775	NA	0	6	6
ENSMUSP00000102984-mafft-cds.filter.fa	153	940	884.7581699346405	153	0	0	16013	127807	NA	0	744	742
ENSMUSP00000103012-mafft-cds.filter.fa	145	699	676.8	145	0	0	20821	80534	NA	0	457	455
ENSMUSP00000103021-mafft-cds.filter.fa	137	88	86.99270072992701	100	12	0	4199	7857	NA	0	1	0
ENSMUSP00000103034-mafft-cds.filter.fa	88	411	395.8181818181818	88	0	0	6630	29538	NA	0	211	211
ENSMUSP00000103039-mafft-cds.filter.fa	155	469	448.09032258064514	155	0	0	8397	64298	NA	0	306	306
ENSMUSP00000103042-mafft-cds.filter.fa	154	453	425.4025974025974	154	0	0	11337	58425	NA	0	269	267
ENSMUSP00000103069-mafft-cds.filter.fa	99	482	435.9191919191919	99	0	0	6775	40943	NA	0	265	262
ENSMUSP00000103163-mafft-cds.filter.fa	124	1374	1262.7983870967741	124	0	0	36926	133450	NA	0	813	807
ENSMUSP00000103238-mafft-cds.filter.fa	148	151	150.58783783783784	131	8	0	8026	14322	NA	0	20	20
ENSMUSP00000103286-mafft-cds.filter.fa	52	725	675.7692307692307	52	0	0	21893	15807	NA	0	115	110
ENSMUSP00000103342-mafft-cds.filter.fa	152	69	68.4342105263158	107	14	0	3130	7358	NA	0	1	1
ENSMUSP00000103418-mafft-cds.filter.fa	157	2102	1999.7388535031846	157	0	0	46211	283803	NA	0	1645	1635
ENSMUSP00000103352-mafft-cds.filter.fa	106	343	325.3867924528302	106	0	0	11201	25157	NA	0	123	120
ENSMUSP00000103448-mafft-cds.filter.fa	126	322	301.3412698412698	126	0	0	6643	33929	NA	0	163	155
ENSMUSP00000103526-mafft-cds.filter.fa	148	255	252.10135135135135	139	4	0	10421	27319	NA	0	127	126
ENSMUSP00000103530-mafft-cds.filter.fa	130	417	393.0230769230769	130	0	0	9832	44378	NA	0	94	84
ENSMUSP00000103528-mafft-cds.filter.fa	151	78	77.9205298013245	137	6	0	1748	10030	NA	0	1	1
ENSMUSP00000103553-mafft-cds.filter.fa	143	243	236.0979020979021	106	11	0	14415	20334	NA	0	54	52
ENSMUSP00000103665-mafft-cds.filter.fa	149	314	305.1677852348993	149	0	0	8417	38369	NA	0	118	118
ENSMUSP00000103682-mafft-cds.filter.fa	61	281	246.63934426229508	61	0	0	4689	12452	NA	0	146	142
ENSMUSP00000103710-mafft-cds.filter.fa	159	1302	1248.0943396226414	159	0	0	42438	164580	NA	0	870	866
ENSMUSP00000103874-mafft-cds.filter.fa	73	1455	1240.150684931507	73	0	0	25430	80785	NA	0	599	551
ENSMUSP00000122591-mafft-cds.filter.fa	149	126	116.93288590604027	141	4	0	3137	15637	NA	0	51	50
ENSMUSP00000103795-mafft-cds.filter.fa	129	577	540.077519379845	129	0	0	5546	68887	NA	0	513	513
ENSMUSP00000103876-mafft-cds.filter.fa	141	265	256.5177304964539	139	1	0	6779	30586	NA	0	151	149
ENSMUSP00000104039-mafft-cds.filter.fa	143	514	474.6713286713287	143	0	0	10667	62835	NA	0	432	430
ENSMUSP00000104126-mafft-cds.filter.fa	151	911	850.6092715231788	151	0	0	25087	112474	NA	0	503	502
ENSMUSP00000104140-mafft-cds.filter.fa	143	227	213.2937062937063	139	1	0	7179	25282	NA	0	56	54
ENSMUSP00000104142-mafft-cds.filter.fa	136	139	138.5735294117647	131	2	0	4892	14012	NA	0	21	21
ENSMUSP00000104144-mafft-cds.filter.fa	95	385	380.2736842105263	95	0	0	12968	23607	NA	0	99	98
ENSMUSP00000104163-mafft-cds.filter.fa	159	229	224.9685534591195	134	9	0	14951	21460	NA	0	32	31
ENSMUSP00000104167-mafft-cds.filter.fa	160	414	404.1625	160	0	0	13066	53174	NA	0	228	228
ENSMUSP00000104171-mafft-cds.filter.fa	140	496	473.4714285714286	140	0	0	9830	59610	NA	0	314	312
ENSMUSP00000104184-mafft-cds.filter.fa	82	984	908.9268292682926	82	0	0	26538	54150	NA	0	447	435
ENSMUSP00000104203-mafft-cds.filter.fa	153	353	347.81045751633985	151	1	0	12699	41310	NA	0	186	186
ENSMUSP00000104219-mafft-cds.filter.fa	146	158	157.93150684931507	116	9	0	12046	11022	NA	0	1	1
ENSMUSP00000104234-mafft-cds.filter.fa	157	180	175.60509554140128	128	9	0	11182	17078	NA	0	44	44
ENSMUSP00000104235-mafft-cds.filter.fa	103	192	191.80582524271844	97	3	0	5812	13964	NA	0	2	2
ENSMUSP00000104238-mafft-cds.filter.fa	125	208	207.272	117	4	0	6508	19492	NA	0	13	13
ENSMUSP00000104251-mafft-cds.filter.fa	115	134	132.76521739130436	83	7	0	6199	9211	NA	0	10	9
ENSMUSP00000104272-mafft-cds.filter.fa	152	254	252.79605263157896	150	1	0	11462	27146	NA	0	4	3
ENSMUSP00000104274-mafft-cds.filter.fa	97	659	657.0515463917526	97	0	0	31646	32277	NA	0	15	14
ENSMUSP00000104280-mafft-cds.filter.fa	129	971	932.3178294573644	129	0	0	33953	91306	NA	0	441	435
ENSMUSP00000104301-mafft-cds.filter.fa	150	1763	1665.06	150	0	0	38996	225454	NA	0	1231	1229
ENSMUSP00000104305-mafft-cds.filter.fa	135	392	365.48148148148147	135	0	0	9483	43437	NA	0	217	217
ENSMUSP00000104306-mafft-cds.filter.fa	150	215	211.55333333333334	146	1	0	4821	27429	NA	0	78	77
ENSMUSP00000104314-mafft-cds.filter.fa	134	111	109.7089552238806	107	9	0	3476	11398	NA	0	43	43
ENSMUSP00000104311-mafft-cds.filter.fa	134	713	688.820895522388	134	0	0	24002	71540	NA	0	367	363
ENSMUSP00000104329-mafft-cds.filter.fa	157	1902	1760.2675159235669	157	0	0	35720	262894	NA	0	1373	1371
ENSMUSP00000104330-mafft-cds.filter.fa	94	170	163.63829787234042	88	3	0	6621	9359	NA	0	36	34
ENSMUSP00000104352-mafft-cds.filter.fa	65	483	463.4307692307692	65	0	0	12561	18834	NA	0	220	214
ENSMUSP00000104361-mafft-cds.filter.fa	50	248	230.66	48	1	0	5421	6979	NA	0	16	0
ENSMUSP00000104363-mafft-cds.filter.fa	140	344	328.75	140	0	0	5275	42885	NA	0	281	280
ENSMUSP00000104356-mafft-cds.filter.fa	154	245	242.2922077922078	150	2	0	6554	31176	NA	0	64	64
ENSMUSP00000104358-mafft-cds.filter.fa	148	152	148.85135135135135	140	4	0	5085	17411	NA	0	31	31
ENSMUSP00000104407-mafft-cds.filter.fa	96	320	309.2604166666667	96	0	0	6459	24261	NA	0	115	111
ENSMUSP00000104414-mafft-cds.filter.fa	150	74	73.50666666666666	122	8	0	1769	9331	NA	0	7	7
ENSMUSP00000104457-mafft-cds.filter.fa	109	469	462.44954128440367	109	0	0	15292	35829	NA	0	76	75
ENSMUSP00000104477-mafft-cds.filter.fa	74	91	88.8108108108108	69	2	0	2397	4337	NA	0	3	1
ENSMUSP00000104485-mafft-cds.filter.fa	160	41	40.01875	69	21	0	2038	4522	NA	0	1	0
ENSMUSP00000104486-mafft-cds.filter.fa	114	200	190.59649122807016	114	0	0	7532	15268	NA	0	45	45
ENSMUSP00000104511-mafft-cds.filter.fa	127	279	252.41732283464566	127	0	0	7944	27489	NA	0	179	179
ENSMUSP00000104548-mafft-cds.filter.fa	104	255	244.25	104	0	0	5474	21046	NA	0	66	63
ENSMUSP00000104641-mafft-cds.filter.fa	122	486	454.21311475409834	122	0	0	10068	49224	NA	0	253	246
ENSMUSP00000104615-mafft-cds.filter.fa	96	217	209.77083333333334	92	2	0	7766	13066	NA	0	55	55
ENSMUSP00000104649-mafft-cds.filter.fa	147	81	80.54421768707483	141	3	0	1421	10486	NA	0	13	13
ENSMUSP00000104685-mafft-cds.filter.fa	124	168	162.16129032258064	120	2	0	4598	16234	NA	0	33	30
ENSMUSP00000104719-mafft-cds.filter.fa	147	409	385.421768707483	147	0	0	11192	48931	NA	0	215	215
ENSMUSP00000104725-mafft-cds.filter.fa	112	800	730.6071428571429	112	0	0	14880	74720	NA	0	496	493
ENSMUSP00000104762-mafft-cds.filter.fa	115	502	485.0869565217391	115	0	0	9304	48426	NA	0	61	58
ENSMUSP00000104763-mafft-cds.filter.fa	12	42	40.583333333333336	12	0	0	201	303	NA	0	5	5
ENSMUSP00000104770-mafft-cds.filter.fa	154	405	394.487012987013	143	5	0	23934	38436	NA	0	77	74
ENSMUSP00000104825-mafft-cds.filter.fa	140	419	412.9428571428571	140	0	0	9908	48752	NA	0	108	107
ENSMUSP00000104836-mafft-cds.filter.fa	145	38	37.793103448275865	77	14	0	2011	3499	NA	0	1	1
ENSMUSP00000104851-mafft-cds.filter.fa	34	134	112.02941176470588	34	0	0	1859	2697	NA	0	22	0
ENSMUSP00000104901-mafft-cds.filter.fa	150	112	108.91333333333333	144	3	0	3113	13687	NA	0	5	2
ENSMUSP00000104877-mafft-cds.filter.fa	120	194	192.13333333333333	120	0	0	5888	17392	NA	0	45	45
ENSMUSP00000105057-mafft-cds.filter.fa	154	541	537.3636363636364	154	0	0	21179	62135	NA	0	73	72
ENSMUSP00000105130-mafft-cds.filter.fa	107	100	99.78504672897196	97	5	0	3789	6911	NA	0	8	8
ENSMUSP00000105151-mafft-cds.filter.fa	156	224	215.74358974358975	150	3	0	3980	30964	NA	0	122	120
ENSMUSP00000105263-mafft-cds.filter.fa	71	161	159.46478873239437	67	2	0	3182	8249	NA	0	11	11
ENSMUSP00000105166-mafft-cds.filter.fa	126	216	202.32539682539684	118	4	0	6788	20428	NA	0	106	105
ENSMUSP00000105303-mafft-cds.filter.fa	161	43	42.993788819875775	38	15	0	3431	3492	NA	0	0	0
ENSMUSP00000105359-mafft-cds.filter.fa	145	108	106.93793103448276	133	5	0	3271	12389	NA	0	4	3
ENSMUSP00000105447-mafft-cds.filter.fa	124	394	357.53225806451616	124	0	0	10581	38275	NA	0	263	263
ENSMUSP00000105463-mafft-cds.filter.fa	61	317	293.9016393442623	61	0	0	6410	12927	NA	0	86	80
ENSMUSP00000105471-mafft-cds.filter.fa	129	96	95.96124031007751	97	8	0	4930	7454	NA	0	1	1
ENSMUSP00000105612-mafft-cds.filter.fa	129	514	495.7906976744186	129	0	0	10029	56277	NA	0	233	229
ENSMUSP00000105620-mafft-cds.filter.fa	76	155	135.73684210526315	72	2	0	3750	8030	NA	0	36	15
ENSMUSP00000105622-mafft-cds.filter.fa	146	141	138.83561643835617	142	2	0	4382	16204	NA	0	27	27
ENSMUSP00000105676-mafft-cds.filter.fa	148	895	868.1418918918919	148	0	0	24221	108239	NA	0	401	399
ENSMUSP00000112052-mafft-cds.filter.fa	162	816	791.6851851851852	162	0	0	29200	102992	NA	0	518	517
ENSMUSP00000112064-mafft-cds.filter.fa	113	300	298.46017699115043	111	1	0	9259	24641	NA	0	50	50
ENSMUSP00000113057-mafft-cds.filter.fa	153	551	526.6993464052288	153	0	0	14753	69550	NA	0	358	356
ENSMUSP00000113589-mafft-cds.filter.fa	134	863	847.5298507462686	134	0	0	29091	86551	NA	0	202	200
ENSMUSP00000113848-mafft-cds.filter.fa	146	619	596.417808219178	146	0	0	16193	74181	NA	0	346	345
ENSMUSP00000112948-mafft-cds.filter.fa	95	190	186.7578947368421	67	8	0	8796	9254	NA	0	67	66
ENSMUSP00000113238-mafft-cds.filter.fa	117	111	110.98290598290598	94	5	0	5280	7707	NA	0	1	1
ENSMUSP00000113869-mafft-cds.filter.fa	143	95	93.82517482517483	127	5	0	3127	10458	NA	0	5	4
ENSMUSP00000112999-mafft-cds.filter.fa	155	735	717.9741935483871	155	0	0	28078	85847	NA	0	243	242
ENSMUSP00000112827-mafft-cds.filter.fa	142	1386	1325.1690140845071	142	0	0	27594	169218	NA	0	985	977
ENSMUSP00000117569-mafft-cds.filter.fa	164	1868	1773.8292682926829	164	0	0	39929	266423	NA	0	1167	1164
ENSMUSP00000119603-mafft-cds.filter.fa	130	264	257.04615384615386	130	0	0	4352	29968	NA	0	114	110
ENSMUSP00000120351-mafft-cds.filter.fa	142	191	185.99295774647888	99	12	0	9843	17279	NA	0	26	23
ENSMUSP00000115503-mafft-cds.filter.fa	161	82	80.1863354037267	96	12	0	3610	9592	NA	0	3	2
ENSMUSP00000119921-mafft-cds.filter.fa	105	103	102.74285714285715	89	6	0	3145	7670	NA	0	1	1
ENSMUSP00000116919-mafft-cds.filter.fa	143	197	190.54545454545453	143	0	0	4726	23445	NA	0	15	9
ENSMUSP00000121390-mafft-cds.filter.fa	102	482	460.1470588235294	102	0	0	12712	36452	NA	0	268	267
ENSMUSP00000118252-mafft-cds.filter.fa	136	212	208.4485294117647	118	5	0	9000	19832	NA	0	83	82
ENSMUSP00000118015-mafft-cds.filter.fa	132	131	129.56060606060606	105	11	0	5895	11397	NA	0	14	13
ENSMUSP00000114339-mafft-cds.filter.fa	143	173	171.74825174825176	137	3	0	6669	18070	NA	0	33	33
ENSMUSP00000114936-mafft-cds.filter.fa	157	173	170.2420382165605	142	7	0	7664	19497	NA	0	33	33
ENSMUSP00000137841-mafft-cds.filter.fa	124	405	371.51612903225805	124	0	0	10575	39645	NA	0	245	245
ENSMUSP00000119839-mafft-cds.filter.fa	156	1480	1406.551282051282	156	0	0	35440	195440	NA	0	860	859
ENSMUSP00000119369-mafft-cds.filter.fa	137	248	236.5036496350365	123	6	0	9015	24961	NA	0	147	146
ENSMUSP00000115063-mafft-cds.filter.fa	135	2979	2814.6740740740743	135	0	0	46216	355949	NA	0	2121	2113
ENSMUSP00000115132-mafft-cds.filter.fa	93	83	83.0	79	7	0	3106	4613	NA	0	0	0
ENSMUSP00000123639-mafft-cds.filter.fa	145	84	81.56551724137931	131	5	0	2694	9486	NA	0	14	13
ENSMUSP00000121973-mafft-cds.filter.fa	160	480	465.39375	160	0	0	14536	62264	NA	0	289	287
ENSMUSP00000120542-mafft-cds.filter.fa	133	2864	2583.90977443609	133	0	0	35744	345168	NA	0	2410	2407
ENSMUSP00000122280-mafft-cds.filter.fa	80	442	420.0625	80	0	0	14473	20887	NA	0	135	127
ENSMUSP00000115576-mafft-cds.filter.fa	140	31	30.957142857142856	75	17	0	780	3560	NA	0	0	0
ENSMUSP00000137686-mafft-cds.filter.fa	93	457	429.16129032258067	93	0	0	6869	35632	NA	0	143	140
ENSMUSP00000138522-mafft-cds.filter.fa	133	78	78.0	57	14	0	5691	4683	NA	0	0	0
ENSMUSP00000117538-mafft-cds.filter.fa	153	448	434.9019607843137	153	0	0	11964	56580	NA	0	220	219
ENSMUSP00000117022-mafft-cds.filter.fa	47	119	112.61702127659575	47	0	0	1450	4143	NA	0	14	8
ENSMUSP00000120086-mafft-cds.filter.fa	162	100	97.30864197530865	126	13	0	4185	12015	NA	0	18	17
ENSMUSP00000114580-mafft-cds.filter.fa	133	85	84.94736842105263	116	8	0	3465	7840	NA	0	1	1
ENSMUSP00000117588-mafft-cds.filter.fa	161	86	84.90683229813665	75	12	0	6904	6942	NA	0	7	6
ENSMUSP00000133356-mafft-cds.filter.fa	123	507	464.3821138211382	123	0	0	8254	54107	NA	0	392	385
ENSMUSP00000120002-mafft-cds.filter.fa	76	69	68.97368421052632	49	8	0	3115	2129	NA	0	1	1
ENSMUSP00000121919-mafft-cds.filter.fa	134	591	566.2611940298508	134	0	0	13736	65458	NA	0	174	162
ENSMUSP00000120077-mafft-cds.filter.fa	159	61	60.861635220125784	83	18	0	4201	5498	NA	0	6	6
ENSMUSP00000115544-mafft-cds.filter.fa	135	288	286.1185185185185	135	0	0	7789	31091	NA	0	11	10
ENSMUSP00000118208-mafft-cds.filter.fa	146	129	124.3972602739726	144	1	0	2433	16401	NA	0	20	16
ENSMUSP00000119345-mafft-cds.filter.fa	53	443	412.37735849056605	53	0	0	11662	11817	NA	0	125	106
ENSMUSP00000115723-mafft-cds.filter.fa	137	183	176.95620437956205	128	3	0	5968	19103	NA	0	121	121
ENSMUSP00000122295-mafft-cds.filter.fa	106	544	528.3301886792453	106	0	0	10186	47478	NA	0	116	106
ENSMUSP00000120649-mafft-cds.filter.fa	160	162	157.625	122	13	0	9199	16721	NA	0	91	91
ENSMUSP00000121239-mafft-cds.filter.fa	149	549	517.8322147651006	147	1	0	21099	60702	NA	0	291	291
