,Taxon,states,Locomotor Mode Notes,Source (Author; Title; Year),Scoring_1,Locomotor type,Add. Notes,Geographic Region,Taxon_Loc1,Taxon_Loc2,Taxon_clade,Geo_1,Multiple_Geo,Total Length,Head/Body Length,Tail Length,TAIL_Index,Hind Foot Length,Ear Length,Adult.mass.g,Tail/Body ratio,HindFoot/Body ratio,litter size,Genus,Species,"Mass(from lit, not averages)",Sequence_data _NOT UPDATED
Mastomys_coucha,Mastomys_coucha,T,Terrestrial ,"Kingdon, Mammals of Africa p. 463",2,,,Africa,,,,8,,185,100,85,0.45945946,20,17.8,42.405,0.85,0.2,7.96,Mastomys,coucha,31,Y
Grammomys_ibeanus,Grammomys_ibeanus,A,Arboreal,"Kingdon, Mammals of Africa p. 414",1,,,Africa,,,,8,,303,120.4,182.6,0.602640264,22.5,20,42.445,1.516611296,0.186877076,NA,Grammomys,ibeanus,43.7,Y
Myomyscus_verreauxii,Myomyscus_verreauxii,T,Terrestrial,"Kingdon, Mammals of Africa p. 506",2,,,Africa,,,,8,,249,106,143,0.574297189,24,18,42.5,1.349056604,0.226415094,NA,Myomyscus,verreauxii,44,Y
Grammomys_dryas,Grammomys_dryas,C,Arboreal but often caught on the ground,"Kingdon, Mammals of Africa p. 412",1,,,Africa,,,,8,,272,112,160,0.588235294,24.3,17.3,42.9,1.428571429,0.216964286,NA,Grammomys,dryas,42.9,N
Apomys_gracilirostris,Apomys_gracilirostris,C,"Shares traits with the arboreal Apomys subgenus, suggesting partial arboreality",,1,,,Philippines,1,,2,9,,310,150,160,0.516129032,38,20,43.08,1.066666667,0.253333333,NA,Apomys,gracilirostris,43.08,Y
Leptomys_ernstmayri,Leptomys_ernstmayri,T,"long narrow hindfoot, five specimens were taken from a single burrow dug near a stream","Flannery, Mammals of New Guniea p.243",2,,,New Guinea,3,1,1,5,,271.7,123,148.7,0.547294811,34.1,20.8,43.275,1.208943089,0.277235772,1.88,Leptomys,ernstmayri,43.7,N
Grammomys_aridulus,Grammomys_aridulus,A,Arboreal,"Kingdon, Mammals of Africa p. 406",1,,,Africa,,,,8,,298.4,113.7,184.7,0.618967828,23.3,18,43.3,1.624450308,0.204925242,NA,Grammomys,aridulus,43.3,N
Pseudomys_fieldi,Pseudomys_fieldi,T,This species is largely found in beach spinifex and Olearia shrubs on coastal sand dunes. It is occasionally found in areas of heathland and mangrove. The species lives within very shallow burrows.,"Strahan, Complete Book of Australian Mammals p. 395 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,6,,230,110,120,0.52173913,27,19,43.675,1.090909091,0.245454546,3.495,Pseudomys,fieldi,45,Y
Pogonomys_sylvestris,Pogonomys_sylvestris,C,"tree mouse, nests in burrow, ascends into trees at night to feed","Flannery, Mammals of New Guniea p.320",1,,,New Guinea,3,,1,5,,280,122,158,0.564285714,21.7,13.2,44.185,1.295081967,0.177868853,2.3975,Pogonomys,sylvestris,46.7,Y
Lemniscomys_hoogstraali,Lemniscomys_hoogstraali,T,Elton Traits,"Kingdon, Mammals of Africa p. 446",,,,Africa,,,,8,,255,127,128,0.501960784,28,14,44.92,1.007874016,0.220472441,NA,Lemniscomys,hoogstraali,44.92,N
Praomys_mutoni,Praomys_mutoni,C,Elton Traits,"Kingdon, Mammals of Africa p. 533",,,,Africa,,,,8,,260,114,146,0.561538462,22,18,45,1.280701754,0.192982456,NA,Praomys,mutoni,45,Y
Pseudomys_occidentalis,Pseudomys_occidentalis,T,"lives in burrows, communal","Strahan, Complete Book of Australian Mammals p. 414 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,218,89,129,0.591743119,27,20,45,1.449438202,0.303370787,3,Pseudomys,occidentalis,34,Y
Thamnomys_schoutedeni,Thamnomys_schoutedeni,,,"Kingdon, Mammals of Africa p. 565",,,,Africa,,,,8,,304,119,185,0.608552632,25,18.5,45,1.554621849,0.210084034,NA,Thamnomys,schoutedeni,45,N
Dephomys_defua,Dephomys_defua,A,"Nocturnal, May be partly arboreal. / The broad hindfoot and long tail suggest that these animals spend more time in trees than on the ground","Kingdon, Mammals of Africa p. 401 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 851",1,,,Africa,,,,8,,320.9,126.3,194.6,0.606419445,26.5,17.1,45.025,1.54077593,0.209817894,2.75,Dephomys,defua,47,Y
Xeromys_myoides,Xeromys_myoides,T,"The False Water-rat does not have webbed feet but it is nevertheless an efficient predator on aquatic invertabrates. / Seen in small trees lining the rivers, climbing agilely among the branches","Strahan, Complete Book of Australian Mammals p. 369 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 864 / IUCN map, Watts- The Rodents of Australia",1,,,Australia,3,,1,5,,217.3,117.3,100,0.460193281,25,15,45.45,0.852514919,0.21312873,2,Xeromys,myoides,45.7,Y
Chiruromys_vates,Chiruromys_vates,A,"All specimens were taken from tree hollows/ completely arboreal, nest in hollow trees, and probably do all their foraging in the forest canopy","Flannery, Mammals of New Guniea p.272 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 804",1,,Second locomotor mode note general about genus,New Guinea,3,1,1,5,,272.5,110,162.5,0.596330275,24.3,17,45.73,1.477272727,0.220909091,1.0525,Chiruromys,vates,46,Y
Mastomys_awashensis,Mastomys_awashensis,T,inhabits grasslands and savannah,"Kingdon, Mammals of Africa p. 462",2,,,Africa,,,,8,,240,122,118,0.491666667,23.8,19,46,0.967213115,0.195081967,NA,Mastomys,awashensis,46,Y
Mastomys_shortridgei,Mastomys_shortridgei,T,Terrestrial,"Kingdon, Mammals of Africa p. 471",2,,,Africa,,,,8,,225,120,105,0.466666667,25,18,46.25,0.875,0.208333333,NA,Mastomys,shortridgei,46,N
Grammomys_buntingi,Grammomys_buntingi,C,Very little is known about this species,"Kingdon, Mammals of Africa p. 407",,,,Africa,,,,8,,272,106,166,0.610294118,23,16,46.77,1.566037736,0.216981132,3,Grammomys,buntingi,46.77,N
Desmomys_yaldeni,Desmomys_yaldeni,C,Longer tail suggests that this species is more arboreal than D. harringtoni,"Kingdon, Mammals of Africa p. 404",1,,,Africa,,,,8,,267.5,124.5,143,0.534579439,28,17.75,47,1.148594378,0.224899598,NA,Desmomys,yaldeni,47,N
Grammomys_gigas,Grammomys_gigas,A,Elton Traits,"Kingdon, Mammals of Africa p. 413",,,Known only by the holotype collected in 1911,Africa,,,,8,,333,132,201,0.603603604,26.5,19,47,1.522727273,0.200757576,NA,Grammomys,gigas,47,N
Pogonomys_macrourus,Pogonomys_macrourus,C,"climbs in low veg, nests in burrows","Flannery, Mammals of New Guniea p.318 / Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 150",1,,,"New Guinea/ Japen, New Britain",3,,1,5,,277.5,120.5,157,0.565765766,20.9,13.2,47.19,1.302904564,0.173443983,2.605,Pogonomys,macrourus,47.4,Y
Praomys_obscurus,Praomys_obscurus,T,Terrestrial,"Kingdon, Mammals of Africa p. 534",2,,,Africa,,,,8,,282,121,161,0.570921986,27.1,20.1,47.2,1.330578512,0.223966942,3.49,Praomys,obscurus,47.2,Y
Rattus_niobe,Rattus_niobe,T,"terrestrial, no indication of climbing, nests in grass","Flannery, Mammals of New Guniea p.338",2,,Syn. Stenomys niobe (IUCN redlist),New Guinea,3,,2,5,,248,121,127,0.512096774,27.2,17.9,47.485,1.049586777,0.224793388,2.15,Rattus,niobe,49.9,Y
Archboldomys_maximus,Archboldomys_maximus,T,Forage on the forest floor,"Heany, The Mammals of Luzon Island pg. 153",2,,,Philippines,1,,2,9,,216,117,99,0.458333333,31,19.5,47.5,0.846153846,0.264957265,NA,Archboldomys,maximus,47.5,Y
Melasmothrix_naso,Melasmothrix_naso,T,Terrestrial and was often seen darting out from under mosscovered roots or decaying tree trunks and scooting across small clearings. ,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 783",2,,,central Sulawesi,2,,1,4,,206.8,118,88.8,0.429400387,27.5,16,47.5,0.752542373,0.233050848,NA,Melasmothrix,naso,47.5,Y
Paramelomys_rubex,Paramelomys_rubex,T,"partly terrestrial, nests in burrows, caught 7m above ground","Flannery, Mammals of New Guniea p.309",1,,Syn. Melomys rubex (IUCN redlist),New Guinea,3,,1,5,,239,118,121,0.506276151,28.2,16.7,47.68,1.025423729,0.238983051,2,Paramelomys,rubex,48.2,Y
Melomys_fraterculus,Melomys_fraterculus,A,said by natives to live in trees; trapped in heavy jungle in limestone country,"Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 133",1,,,Seram,3,,1,4,,270,115,155,0.574074074,27,13,47.8,1.347826087,0.234782609,NA,Melomys,fraterculus,47.8,N
Praomys_hartwigi,Praomys_hartwigi,C,Terrestrial. Limb proportions suggest adaptations to a scansorial life. ,"Kingdon, Mammals of Africa p. 527",1,,,Africa,,,,8,,287.1,125,162.1,0.564611634,26.5,19.2,48.03,1.2968,0.212,3.49,Praomys,hartwigi,57.2,Y
Crunomys_celebensis,Crunomys_celebensis,T,This species is considered terrestrial/All Crunomys specimens were caught in pitfalls during the night.,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 800/ Achmadi et al. Treubia",2,,,central Sulawesi ,2,,NA,4,,193.6,112.6,81,0.41838843,25,14,48.3,0.719360568,0.222024867,NA,Crunomys,celebensis,48.3,Y
Grammomys_cometes,Grammomys_cometes,A,Arboreal,"Kingdon, Mammals of Africa p. 409",1,,,Africa,,,,8,,286,118,168,0.587412587,24,-,48.5,1.423728814,0.203389831,2.925,Grammomys,cometes,52,Y
Chiruromys_lamia,Chiruromys_lamia,A,"Commonly encountered resting in tree hollows by day. A hollow was located 7 to 8 metres above ground/ completely arboreal, nest in hollow trees, and probably do all their foraging in the forest canopy","Flannery, Mammals of New Guniea p.270 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 804",1,,Second locomotor mode note general about genus,New Guinea,3,1,1,5,,272,114.6,157.4,0.578676471,24,18.1,48.8,1.373472949,0.209424084,2.15,Chiruromys,lamia,50.4,N
Stenocephalemys_ruppi,Stenocephalemys_ruppi,T,Habitat: montane forest and scrub,"Kingdon, Mammals of Africa p. 553",2,,Described on the basis of nine specimens ,Africa,,,,8,,291,131,160,0.549828179,31,24,48.99,1.221374046,0.236641221,NA,Stenocephalemys,ruppi,48.99,N
Margaretamys_christinae,Margaretamys_christinae,A,"caught in a Sherman trap placed on a tree 1.5 m above the ground level.  It obviously is able to move about in the understory but we cannot say that the species is primarily arboreal, scansorial, terrestrial, or is typically active at all levels in the forest – on the ground, in the understory, and in the forest canopy.",Mortelliti et al 2012 Margaretamys,1,,,Sulawesi,2,,5,4,,286,111,175,0.611888112,20,24.5,49,1.576576577,0.18018018,NA,Margaretamys,christinae,49,Y
Praomys_petteri,Praomys_petteri,C,Elton Traits,"Kingdon, Mammals of Africa p. 535",,,,Africa,,,,8,,259,119,140,0.540540541,26,18.5,49,1.176470588,0.218487395,NA,Praomys,petteri,49,Y
Maxomys_whiteheadi,Maxomys_whiteheadi,T,Common inhabitant of the lowland rainforest floor/ mainly terrestrial,"Lekagul and McNeely, Mammals of Thailand p. 446 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 834 / Francis, A Guide to the Mammals of Southeast Asia p. 367",2,,Syn. Rattus whiteheadi,"Thailand/ Malay Peninsula, Sumatra, Borneo, many small islands of East Indies",,,,2,"2,3",218,115,103,0.472477064,26,16,49.165,0.895652174,0.226086957,3,Maxomys,whiteheadi,44,Y
Pelomys_minor,Pelomys_minor,T,Elton Traits,"Kingdon, Mammals of Africa p. 519",,,,Africa,,,,8,,235.8,122.5,113.3,0.480491942,24.2,14.5,49.495,0.924897959,0.19755102,2.5,Pelomys,minor,49,N
Stenocephalemys_albipes,Stenocephalemys_albipes,C,Terrestrial. Semi-arboreal activity has been observed on trees close to the ground.,"Kingdon, Mammals of Africa p. 550",1,,,Africa,,,,8,,252,115,137,0.543650794,27,22,49.8,1.191304348,0.234782609,4.41,Stenocephalemys,albipes,49.8,Y
Pogonomys_championi,Pogonomys_championi,C,"nests in burrows, feeds in trees and shrubs","Flannery, Mammals of New Guniea p.315",1,,,New Guinea,3,,1,5,,281.3,123.7,157.6,0.560255955,22,13.5,49.925,1.274050121,0.177849636,2.15,Pogonomys,championi,49.4,N
Pseudomys_gouldii,Pseudomys_gouldii,T,"lives in plains or sand hills, and makes its nest under bushes","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 820 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,EXTINCT,"Australia, New South Wales",3,,1,6,,220,120,100,0.454545455,26,18,49.99,0.833333333,0.216666667,NA,Pseudomys,gouldii,50,N
Notomys_alexis,Notomys_alexis,T,"Hopping mouse, has long hindlegs and a long, tufted tail ","Strahan, Complete Book of Australian Mammals p. 429 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,255,115,140,0.549019608,36,26,50,1.217391304,0.313043478,3.955,Notomys,alexis,35,Y
Notomys_mitchellii,Notomys_mitchellii,T,Largest of the extant hopping-mice. Bipedal gait and long tail. / Live sympatric with Pseudomys apodemoides,"Strahan, Complete Book of Australian Mammals p. 426 / Cockburn 1981 Pseudomys apodemoides / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,First considered a jerboa (family Dipodidae) but is now recognized as a classic example of convergent evolution,Australia,3,,1,6,,280,125,155,0.553571429,37,25,50,1.24,0.296,3.28,Notomys,mitchellii,52,Y
Praomys_rostratus,Praomys_rostratus,C,Terrestrial but also found at tree heights of 1 m and 2.5 m in Côte d'Ivoire,"Kingdon, Mammals of Africa p. 536",1,,,Africa,,,,8,,252,114,138,0.547619048,26.5,15.5,50,1.210526316,0.23245614,3.5,Praomys,rostratus,50,Y
Hybomys_planifrons,Hybomys_planifrons,T,Terrestrial,"Kingdon, Mammals of Africa p. 425",2,,,Africa,,,,8,,221,124,97,0.438914027,30.6,17.4,50.3,0.782258065,0.246774194,2.4,Hybomys,planifrons,51,N
Praomys_verschureni,Praomys_verschureni,C,Elton Traits,"Kingdon, Mammals of Africa p. 538",,,,Africa,,,,8,,264.3,121.3,143,0.541051835,30.1,20.3,50.8,1.178895301,0.248145095,NA,Praomys,verschureni,50.8,N
Lemniscomys_rosalia,Lemniscomys_rosalia,T,Terrestrial,"Kingdon, Mammals of Africa p. 450",2,,,Africa,,,,8,,268.9,136.8,132.1,0.491260692,26.9,11.3,51.21,0.965643275,0.196637427,3.465,Lemniscomys,rosalia,52.5,Y
Aethomys_namaquensis,Aethomys_namaquensis,C,Terrestrial and semi-arboreal. Builds nests in upright or hollow trees. Also burrows under brush or other debris.,"Kingdon, Mammals of Africa p. 372",1,,,Africa,,,,8,,259.3,107.5,151.8,0.585422291,25.3,19.6,51.7,1.412093023,0.235348837,NA,Aethomys,namaquensis,51.7,Y
Apomys_abrae,Apomys_abrae,T,"Forage on the surface of the ground/ evidently are terrestrial, some species may be scansorial","Heany, The Mammals of Luzon Island pg. 141 /Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 795",2,,second locomotor mode note general about genus,Philippines,1,,2,9,,274.5,140,134.5,0.489981785,36.5,22,51.94,0.960714286,0.260714286,NA,Apomys,abrae,69,Y
Leptomys_signatus,Leptomys_signatus,T,Elton Traits,"Flannery, Mammals of New Guniea p.244",,,Only know from type series as of 1995,New Guinea,3,1,1,5,,295,144,151,0.511864407,38,19,52,1.048611111,0.263888889,1.88,Leptomys,signatus,52,N
Pseudomys_nanus,Pseudomys_nanus,T,"Whether or not it constructs a burrow remains to be determined. / It is found in grasslands, and eucalypt on sandy volcanic and lateritic soil","Strahan, Complete Book of Australian Mammals p. 398 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 820 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,207,107,100,0.483091787,25,15,52.19,0.934579439,0.23364486,3,Pseudomys,nanus,34,Y
Hybomys_univittatus,Hybomys_univittatus,T,Terrestrial,"Kingdon, Mammals of Africa p. 428",2,,,Africa,,,,8,,224.7,121.4,103.3,0.459724077,27.9,15.5,52.43,0.850906096,0.229818781,2.35,Hybomys,univittatus,50.4,Y
Lemniscomys_roseveari,Lemniscomys_roseveari,T,Elton Traits,"Kingdon, Mammals of Africa p. 451",,,,Africa,,,,8,,261,124,137,0.524904215,28.3,11.3,52.5,1.10483871,0.228225807,NA,Lemniscomys,roseveari,52.5,N
Grammomys_kuru,Grammomys_kuru,C,"Primarily arboreal, efficient climbers, using their long tail for balance and gripping small twigsand branches with the elongated semi-opposable Digit 5 of the hindfeet","Kingdon, Mammals of Africa p. 415",1,,,Africa,,,,8,,296.8,114.3,182.5,0.614892183,25,15,52.6,1.596675416,0.21872266,1,Grammomys,kuru,52.6,N
Myomyscus_yemeni,Myomyscus_yemeni,T,Elton Traits,/ IUCN map,,,,,,,,7,,,,,#DIV/0!,,,52.7,#DIV/0!,#DIV/0!,3,Myomyscus,yemeni,52.7,Y
Myomyscus_angolensis,Myomyscus_angolensis,T,Habitat: humid grassland in mountain and highland areas above 1000 m,"Kingdon, Mammals of Africa p. 504",2,,,Africa,,,,8,,243,121,122,0.502057613,24.2,-,52.89,1.008264463,0.2,NA,Myomyscus,angolensis,52.89,N
Niviventer_eha,Niviventer_eha,T,Predominantly terrestrial,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 833 / Smith and Xie, A Guide to the Mammals of China p. 268",2,,,"Nepal, Sikkim, northeastern India, northern Burma, Yunnan / China",,,,7,"2,7",301,121,180,0.598006645,29.5,18,53.6,1.487603306,0.243801653,4.86,Niviventer,eha,53.6,Y
Hybomys_lunaris,Hybomys_lunaris,T,"is restricted to low to mid-elevation montane forests (1500–2700 m a.s.l.), is terrestrial and prefers areas near water.","Kingdon, Mammals of Africa p. 424 / Huhndorf et al. 2007 Hybomys",2,,,Africa,,,,8,,223,108,115,0.515695067,25,17,54.1,1.064814815,0.231481482,2.4,Hybomys,lunaris,54.1,Y
Paraleptomys_rufilatus,Paraleptomys_rufilatus,T,few known. trapped on ground in mossy & non-mossy forest near mountain peak,"Flannery, Mammals of New Guniea p.253",2,,,New Guinea,3,,1,5,,263,127.3,135.7,0.515969582,33.3,18.7,54.495,1.06598586,0.261586803,NA,Paraleptomys,rufilatus,54,N
Crunomys_melanius,Crunomys_melanius,T,"Body proportions are those of a terrestrial animal, congeners are all terrestrial","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 800",2,,Syn. C. rabori,Mindanao,1,,NA,9,,190.8,110,80.8,0.423480084,26,15,54.5,0.734545455,0.236363636,NA,Crunomys,melanius,54.5,Y
Pelomys_hopkinsi,Pelomys_hopkinsi,T,"Presumed to be adapted to the swampy environment, and to be semi-aquatic","Kingdon, Mammals of Africa p. 517",2,,,Africa,,,,8,,284.5,121.5,163,0.572934974,30.85,15.9,54.5,1.341563786,0.253909465,NA,Pelomys,hopkinsi,54.5,N
Abeomelomys_sevia,Abeomelomys_sevia,A,"arboreal when it occurs in moss forest, where its makes nests in Pandanus foliage or in tree hollows. It is also found in the alpine zone above the tree-line / arboreal","Flannery, Mammals of New Guniea p.265 / Musser 1983 Sumatra",1,,http://digitallibrary.amnh.org/handle/2246/9/discover,New Guinea,3,1,1,5,,300.5,127.5,173,0.575707155,24.8,18.2,55.69,1.356862745,0.194509804,1,Abeomelomys,sevia,56.5,Y
Lemniscomys_griselda,Lemniscomys_griselda,T,,"Kingdon, Mammals of Africa p. 445",,,,Africa,,,,8,,256,121,135,0.52734375,28,14,55.87,1.115702479,0.231404959,3.5725,Lemniscomys,griselda,58,N
Lamottemys_okuensis,Lamottemys_okuensis,T,"The characters and proportions of the body suggest that it is mainly terrestrial / lives in mountain forest between 2100 and 2900 m. It is a terrestrial species and its stomach contents analyzed by one of us (OF) revealed exclusively green plant matter, suggesting an entirely herbivorous diet.","Kingdon, Mammals of Africa p. 440",2,,,Africa,,,,8,,250.8,126,124.8,0.497607656,28.4,16.5,56,0.990476191,0.225396825,NA,Lamottemys,okuensis,56,Y
Maxomys_hylomyoides,Maxomys_hylomyoides,T,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 834",,,,Sumatra,,,,3,,245.7,125.9,119.8,0.487586488,29.4,18.5,56.6,0.951548848,0.233518666,NA,Maxomys,hylomyoides,56.6,Y
Vandeleuria_nolthenii,Vandeleuria_nolthenii,A,"The limbs are adapted to grasping and climbing by the opposition of the first digit on both the hand and the foot, the shortness of the foot, and the development of the terminal pads of the fingers and toes. Essentially arboreal. Use the tail as a balancing organ as they run among branches and twigs. Sometimes the long, almost prehensile tail is wound loosly around a twig to steady the animal. Much less active and slower on the ground. / Nocturnal, Arboreal","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 775 / 2005 Rodent CAMP report",1,,Locomotor mode notes are general about the genus,highlands of Sri Lanka ,,,,1,,,,,#DIV/0!,,,56.6,#DIV/0!,#DIV/0!,4,Vandeleuria,nolthenii,56.6,N
Zelotomys_woosnami,Zelotomys_woosnami,C,"Primarily terrestrial, but also adept climbers and able to jump from branch to branch, using the tail for balance. ","Kingdon, Mammals of Africa p. 570",1,,,Africa,,,,8,,237.3,128.4,108.9,0.458912769,26.4,18.9,56.8,0.848130841,0.205607477,4.9125,Zelotomys,woosnami,59.5,N
Mastomys_erythroleucus,Mastomys_erythroleucus,T,"Habitat: grasslands, disturbed areas, fields, near human habitations, and in buildings","Kingdon, Mammals of Africa p. 464 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 834",2,,,Africa/ Morocco,,,,7,,225.7,118,107.7,0.4771821,23,16.7,56.935,0.912711864,0.194915254,9.595,Mastomys,erythroleucus,49.8,Y
Pelomys_isseli,Pelomys_isseli,T,Elton Traits,"Kingdon, Mammals of Africa p. 518",,,,Africa,,,,8,,281,132,149,0.53024911,31,15,56.995,1.128787879,0.234848485,NA,Pelomys,isseli,54,N
Zelotomys_hildegardeae,Zelotomys_hildegardeae,T,Terrestrial,"Kingdon, Mammals of Africa p. 569",2,,,Africa,,,,8,,210.4,110,100.4,0.477186312,22.3,17,57.61,0.912727273,0.202727273,5.75,Zelotomys,hildegardeae,60,Y
Pogonomys_fergussoniensis,Pogonomys_fergussoniensis,A,Elton Traits,,,,,,3,,1,5,,,,,#DIV/0!,,,57.88,#DIV/0!,#DIV/0!,2.175,Pogonomys,fergussoniensis,57.88,N
Melomys_bannisteri,Melomys_bannisteri,T,Elton Traits,,,,,Kai Besar,3,,1,5,,224,112,112,0.5,,,58,1,0,2.35,Melomys,bannisteri,58,Y
Hybomys_trivirgatus,Hybomys_trivirgatus,T,Terrestrial,"Kingdon, Mammals of Africa p. 426",2,,,Africa,,,,8,,224,124,100,0.446428571,31.8,17,58.04,0.806451613,0.256451613,2.72,Hybomys,trivirgatus,56,N
Hadromys_humei,Hadromys_humei,T,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 826",,,,Assam,,,,2,,,,,#DIV/0!,,,59,#DIV/0!,#DIV/0!,NA,Hadromys,humei,59,N
Hadromys_yunnanensis,Hadromys_yunnanensis,T,Terrestrial,"Smith and Xie, A Guide to the Mammals of China p. 260",2,,,China,,,,2,,,,,#DIV/0!,,,59,#DIV/0!,#DIV/0!,NA,Hadromys,yunnanensis,59,N
Mastomys_huberti,Mastomys_huberti,T,Very good swimming abilities,"Kingdon, Mammals of Africa p. 466",2,,,Africa,,,,8,,253,139,114,0.450592885,25.1,18.6,59.1,0.820143885,0.18057554,7.96,Mastomys,huberti,59.1,Y
Cremnomys_cutchicus,Cremnomys_cutchicus,T,Common in rocky parts of the Indian Desert and shelters in rock crevices,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 829",2,,,India,,,,1,,258,117,141,0.546511628,,,59.8,1.205128205,0,5.09,Cremnomys,cutchicus,59.8,Y
Zyzomys_argurus,Zyzomys_argurus,T,"Always associated with rocky outcrops, the rocks provide the cover need for nesting and the do not burrow into the shallow hard soils associated with rocky ground. ","Strahan, Complete Book of Australian Mammals p. 387 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 818 / IUCN map / Watts Rodents of Australia",2,,,Australia/ Queensland,3,,1,5,,245,120,125,0.510204082,25,18,60,1.041666667,0.208333333,2.695,Zyzomys,argurus,36,Y
Niviventer_hinpoon,Niviventer_hinpoon,T,"Cursorial (N. niviventerand N. hinpoon, for example)","Lekagul and McNeely, Mammals of Thailand p. 459 /Musser 1981 p. 238",2,,Syn. Rattus hinpoon,Thailand,,,,2,,282,140,142,0.503546099,26.5,19,61,1.014285714,0.189285714,NA,Niviventer,hinpoon,61,Y
Malacomys_edwardsi,Malacomys_edwardsi,SA,Terrestrial; may swim occasionally. Walks carefully on moist ground with only the toes of the long limbs touching the ground.,"Kingdon, Mammals of Africa p. 457",2,,,Africa,,,,8,,301,133,168,0.558139535,33,25,61.39,1.263157895,0.248120301,2.5725,Malacomys,edwardsi,59,N
Colomys_goslingi,Colomys_goslingi,SA,"Semi-aquatic. Swim very rapidly with powerful thrusts of the hindlegs, broad hindfoot/ searches for food by wading through watery mud","Kingdon, Mammals of Africa p. 391 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 845",2,,,Africa,,,,8,,282.4,122.4,160,0.566572238,37.9,17.8,61.5,1.307189542,0.309640523,1.9775,Colomys,goslingi,60.5,Y
Golunda_ellioti,Golunda_ellioti,C,Burrows rarely. Good climber but usually moves about the ground in definite runways,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 825",1,,,"Pakistan, India, Nepal, Bhutan, and Sri Lanka",,,,1,"1,7",212.1,128.4,83.7,0.394625177,25.9,16.1,62.065,0.651869159,0.201713396,4.4975,Golunda,ellioti,63.4,Y
Rattus_exulans,Rattus_exulans,C,Forage on the ground/ Have been found on coconut plantations and run up and down the trunks and fronds with agility /  The recent study by McCartney (1970) contrasts with those of Baker (1946) and Jackson (1969) by demonstrating conclusively that R. exulans exhibits arboreal behavior.,"Heany, The Mammals of Luzon Island pg. 177 / Lekagul and McNeely, Mammals of Thailand p. 473 / Taylor and Horner 1973 Rattus / IUCN map",1,,,Philippines/ Thailand,,,,2,"2,3,9?",286.7,135.8,150.9,0.526334147,26.1,17.3,62.915,1.111192931,0.192194404,3.6825,Rattus,exulans,75.2,Y
Thamnomys_venustus,Thamnomys_venustus,A,"Inhabits montane forests. Arboreal, form nests in hollow trees","Kingdon, Mammals of Africa p. 566 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 839",1,,,Africa,,,,8,,344,146,198,0.575581395,26.3,21.3,62.94,1.356164384,0.180136986,1.33,Thamnomys,venustus,64,N
Apomys_sacobianus,Apomys_sacobianus,C,"Almost never climb above the ground surface (and never more than 1 m above ground). / evidently are terrestrial, some species may be scansorial","Heany, The Mammals of Luzon Island pg. 149 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 795",1,,second locomotor mode note general about genus,Philippines,1,,2,9,,296,153.5,142.5,0.481418919,37.5,23,63.44,0.928338762,0.244299674,NA,Apomys,sacobianus,92,Y
Echiothrix_leucura,Echiothrix_leucura,T,"terrestrial, vermivore, bipedal?",JAE,2,,,northern and central Sulawesi,2,,1,4,,460,225,235,0.510869565,55,33,63.68,1.044444444,0.244444444,NA,Echiothrix,leucura,63.68,Y
Hybomys_badius,Hybomys_badius,T,Strictly terrestrial,"Kingdon, Mammals of Africa p. 422",2,,,Africa,,,,8,,236.7,122.4,114.3,0.482889734,29.3,16.7,63.7,0.933823529,0.239379085,2.4,Hybomys,badius,63.7,N
