# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i test-2-mafft-175/nt/ -o test-2-filter-175/ --overwrite
# Runtime:        03/16/2021 13:53:59
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-mafft-175/nt
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175/aln-stats.tab
# ----------------
# 03.16.2021 | 13:53:59 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre 20 gap seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre percent sites 20 gap	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post 20 gap seqs	post invariant sites	post stop codons	post percent sites with gap	post percent sites 20 gap
ENSMUSP00000054747-mafft-cds.fa	193	660	531.6580310880829	193	0	75	0	0	660	626	37	118	623	568.2372881355932	118	0	0	17	0	437	435
ENSMUSP00000122260-mafft-cds.fa	189	40	39.93650793650794	107	13	0	4	0	1	1	0	189	40	39.93650793650794	107	13	0	4	0	1	1
ENSMUSP00000030434-mafft-cds.fa	193	254	222.10362694300517	191	1	42	0	0	254	254	0	151	254	241.7086092715232	149	1	0	11	0	157	157
ENSMUSP00000028769-mafft-cds.fa	194	741	570.4175257731958	194	0	98	0	0	741	724	0	96	741	639.3854166666666	96	0	0	30	0	541	522
ENSMUSP00000009354-mafft-cds.fa	190	103	92.40526315789474	170	9	12	0	0	103	96	10	178	93	90.97191011235955	158	9	0	3	0	21	20
ENSMUSP00000117022-mafft-cds.fa	171	161	72.19298245614036	167	2	168	0	3	161	114	0	3	161	150.66666666666666	3	0	0	67	0	10	0
ENSMUSP00000080600-mafft-cds.fa	194	453	367.85051546391753	194	0	71	0	1	453	421	36	123	417	392.8130081300813	123	0	0	16	0	280	280
ENSMUSP00000152025-mafft-cds.fa	192	91	89.421875	168	8	8	0	1	71	71	0	184	91	90.86413043478261	160	8	0	0	1	5	5
ENSMUSP00000124783-mafft-cds.fa	151	53	51.81456953642384	115	12	0	0	0	10	9	0	151	53	51.81456953642384	115	12	0	0	0	10	9
ENSMUSP00000034300-mafft-cds.fa	172	61	34.104651162790695	86	19	156	0	0	61	44	0	16	61	60.0625	12	2	0	29	0	1	0
ENSMUSP00000040221-mafft-cds.fa	184	103	92.46195652173913	169	7	33	0	1	103	102	0	151	103	101.86092715231788	138	6	0	4	1	4	3
ENSMUSP00000020779-mafft-cds.fa	194	668	591.5360824742268	194	0	33	0	0	668	655	17	161	651	613.9130434782609	161	0	0	6	0	532	531
ENSMUSP00000021420-mafft-cds.fa	193	84	82.69948186528498	155	10	6	5	0	40	40	0	187	84	83.94117647058823	149	10	0	7	0	0	0
ENSMUSP00000031289-mafft-cds.fa	190	159	151.29473684210527	182	4	23	0	0	159	158	0	167	159	157.59281437125748	161	3	0	6	0	20	19
ENSMUSP00000056154-mafft-cds.fa	190	382	360.20526315789476	186	2	13	0	0	326	315	5	177	377	367.5762711864407	173	2	0	28	0	27	19
ENSMUSP00000051441-mafft-cds.fa	193	195	188.0103626943005	187	3	17	0	0	150	150	0	176	195	192.79545454545453	170	3	0	13	0	59	59
ENSMUSP00000044144-mafft-cds.fa	192	112	105.234375	178	6	24	0	0	112	112	0	168	112	111.88690476190476	157	5	0	9	0	3	3
ENSMUSP00000120075-mafft-cds.fa	193	115	107.06217616580311	169	9	21	0	0	115	113	4	172	111	110.70930232558139	152	8	0	0	0	16	16
ENSMUSP00000134401-mafft-cds.fa	190	301	286.9789473684211	183	3	5	5	0	196	194	0	185	301	288.6054054054054	178	3	0	5	0	196	194
ENSMUSP00000099692-mafft-cds.fa	194	354	334.5412371134021	194	0	17	0	0	354	354	0	177	354	343.96610169491527	177	0	0	22	0	215	215
ENSMUSP00000140393-mafft-cds.fa	152	28	28.0	22	11	0	10	0	0	0	0	152	28	28.0	22	11	0	10	0	0	0
ENSMUSP00000104778-mafft-cds.fa	193	459	428.440414507772	191	1	6	0	0	368	368	0	187	459	431.096256684492	185	1	0	2	0	313	313
ENSMUSP00000029179-mafft-cds.fa	193	927	876.7979274611399	193	0	14	0	0	927	924	5	179	922	901.1731843575419	179	0	0	33	0	361	361
ENSMUSP00000031288-mafft-cds.fa	193	745	690.1761658031088	193	0	24	6	0	651	649	0	169	745	718.7337278106509	169	0	0	11	0	578	576
ENSMUSP00000097296-mafft-cds.fa	193	501	486.04145077720204	193	0	10	7	1	401	401	0	183	501	495.224043715847	183	0	0	16	0	197	197
ENSMUSP00000020057-mafft-cds.fa	194	237	190.39175257731958	190	2	85	0	10	237	232	4	109	233	214.03669724770643	107	1	0	10	7	183	181
ENSMUSP00000059587-mafft-cds.fa	194	435	360.6340206185567	189	2	70	1	1	416	398	17	124	418	410.06451612903226	119	2	0	36	1	29	22
ENSMUSP00000086748-mafft-cds.fa	193	1262	915.0621761658031	193	0	90	0	1	1262	1171	87	103	1175	1087.5825242718447	103	0	0	65	1	360	338
ENSMUSP00000019447-mafft-cds.fa	193	167	144.0	179	6	35	3	0	135	117	18	158	149	147.70886075949366	150	4	0	16	0	10	9
ENSMUSP00000000687-mafft-cds.fa	173	35	34.86705202312139	80	16	1	1	0	5	5	0	172	35	34.91860465116279	79	16	0	2	0	5	5
ENSMUSP00000118182-mafft-cds.fa	193	237	208.51295336787564	187	3	18	0	0	183	160	28	175	209	207.25142857142856	167	4	0	8	0	37	36
ENSMUSP00000083656-mafft-cds.fa	194	326	320.47938144329896	192	1	3	0	0	248	247	0	191	326	323.1413612565445	189	1	0	16	0	84	83
ENSMUSP00000142412-mafft-cds.fa	194	301	291.819587628866	183	5	5	4	0	237	235	4	189	297	293.22222222222223	178	5	0	8	0	122	122
ENSMUSP00000020173-mafft-cds.fa	193	385	303.419689119171	193	0	80	0	7	385	362	27	113	358	324.91150442477874	113	0	0	13	6	232	229
ENSMUSP00000015460-mafft-cds.fa	178	100	95.9438202247191	154	8	4	2	0	33	31	4	174	96	94.40229885057471	150	8	0	5	0	13	13
ENSMUSP00000090020-mafft-cds.fa	193	474	393.7253886010363	193	0	64	0	0	474	474	0	129	474	436.72868217054264	129	0	0	17	0	184	184
ENSMUSP00000143431-mafft-cds.fa	188	94	88.70744680851064	163	11	18	0	0	94	93	0	170	94	92.94117647058823	145	11	0	6	0	1	0
ENSMUSP00000042195-mafft-cds.fa	194	363	328.2371134020619	194	0	26	0	0	363	355	12	168	351	339.6488095238095	168	0	0	0	0	265	265
ENSMUSP00000092148-mafft-cds.fa	194	1034	884.7216494845361	194	0	45	0	0	1015	1002	14	149	1020	932.1073825503356	149	0	0	93	0	670	669
ENSMUSP00000035734-mafft-cds.fa	193	983	884.3264248704663	193	0	16	0	2	935	903	48	177	935	891.0338983050848	177	0	0	1	2	849	848
ENSMUSP00000099815-mafft-cds.fa	194	1197	1085.4845360824743	192	1	11	0	11	1129	1099	30	183	1167	1098.0109289617487	181	1	0	26	11	812	806
ENSMUSP00000126814-mafft-cds.fa	187	118	103.91978609625669	179	4	33	0	0	118	114	8	154	110	109.5909090909091	146	3	0	8	0	18	18
ENSMUSP00000001402-mafft-cds.fa	189	68	63.216931216931215	114	25	27	0	0	68	68	0	162	68	67.99382716049382	97	22	0	14	0	0	0
ENSMUSP00000086606-mafft-cds.fa	185	57	56.8	128	17	1	0	0	2	2	0	184	57	56.90217391304348	127	17	0	0	0	2	2
ENSMUSP00000000445-mafft-cds.fa	193	167	148.5699481865285	173	9	41	0	0	167	167	0	152	167	166.54605263157896	138	6	0	11	0	12	12
ENSMUSP00000106376-mafft-cds.fa	193	1025	885.0051813471503	193	0	34	5	1	951	933	18	159	1007	919.9811320754717	159	0	0	10	1	821	820
ENSMUSP00000113879-mafft-cds.fa	190	290	285.3263157894737	183	3	6	1	0	166	166	0	184	290	288.5271739130435	177	3	0	5	0	76	76
ENSMUSP00000041427-mafft-cds.fa	193	438	226.6321243523316	193	0	192	0	0	438	331	0	1	438	365.0	1	0	0	438	0	0	0
ENSMUSP00000074876-mafft-cds.fa	193	149	117.31088082901555	191	1	120	0	27	88	59	0	73	149	120.10958904109589	73	0	0	29	0	29	0
ENSMUSP00000001059-mafft-cds.fa	193	795	704.3989637305699	193	0	34	4	2	646	641	8	159	787	732.3522012578617	159	0	0	22	2	605	604
ENSMUSP00000018800-mafft-cds.fa	193	131	123.19170984455958	178	6	28	1	0	107	107	0	165	131	128.87878787878788	152	5	0	4	0	50	50
ENSMUSP00000145887-mafft-cds.fa	194	452	361.7628865979381	186	4	71	0	2	452	396	59	123	393	379.0569105691057	113	5	0	43	1	133	133
ENSMUSP00000077584-mafft-cds.fa	184	1047	960.7445652173913	184	0	31	2	1	953	946	5	153	1042	1016.4901960784314	153	0	0	50	0	273	269
ENSMUSP00000097060-mafft-cds.fa	193	1617	1019.4248704663213	193	0	192	0	0	1614	1309	0	1	1617	1368.0	1	0	0	1617	0	0	0
ENSMUSP00000038204-mafft-cds.fa	192	530	515.8958333333334	189	1	9	1	1	427	424	5	183	525	523.1584699453551	178	2	0	28	1	81	81
ENSMUSP00000123785-mafft-cds.fa	193	268	237.0984455958549	174	8	33	0	0	219	202	17	160	251	248.46875	141	8	0	27	0	27	26
ENSMUSP00000158214-mafft-cds.fa	193	141	135.73056994818654	146	16	18	0	0	141	141	0	175	141	140.87428571428572	128	16	0	21	0	0	0
ENSMUSP00000078659-mafft-cds.fa	194	104	102.72164948453609	107	17	5	1	0	52	52	0	189	104	103.97883597883597	102	17	0	25	0	0	0
ENSMUSP00000065845-mafft-cds.fa	193	167	164.6424870466321	159	14	6	3	0	118	118	0	187	167	166.40641711229947	153	14	0	16	0	30	30
ENSMUSP00000044990-mafft-cds.fa	193	917	891.1917098445596	193	0	4	55	1	656	655	0	189	917	897.3386243386243	189	0	0	68	1	620	619
ENSMUSP00000108321-mafft-cds.fa	194	738	686.0979381443299	194	0	8	2	0	603	603	0	186	738	691.8978494623656	186	0	0	10	0	584	584
ENSMUSP00000040840-mafft-cds.fa	194	266	253.3298969072165	188	3	21	0	2	229	229	0	173	266	261.94797687861274	169	2	0	16	2	82	82
ENSMUSP00000123324-mafft-cds.fa	185	40	38.87027027027027	120	11	0	0	1	8	7	0	185	40	38.87027027027027	120	11	0	0	1	8	7
ENSMUSP00000047529-mafft-cds.fa	193	212	198.04145077720207	183	5	18	1	0	138	137	0	175	212	205.94857142857143	165	5	0	13	0	94	93
ENSMUSP00000014370-mafft-cds.fa	193	230	202.0880829015544	191	1	31	0	5	213	202	14	162	216	206.55555555555554	160	1	0	0	4	110	107
ENSMUSP00000107839-mafft-cds.fa	193	195	157.95336787564767	191	1	54	0	1	195	176	19	139	176	174.0791366906475	135	2	0	9	0	29	28
ENSMUSP00000052717-mafft-cds.fa	186	722	674.3709677419355	186	0	31	5	1	619	610	6	155	716	707.3225806451613	155	0	0	29	0	114	109
ENSMUSP00000100882-mafft-cds.fa	192	404	387.4895833333333	188	2	11	3	2	328	322	8	181	396	390.8674033149171	177	2	0	15	2	111	109
ENSMUSP00000063293-mafft-cds.fa	194	385	332.6443298969072	192	1	44	0	0	385	378	8	150	377	350.1933333333333	148	1	0	5	0	292	291
ENSMUSP00000058877-mafft-cds.fa	193	308	279.88082901554407	189	2	25	0	16	308	305	0	168	308	289.85714285714283	164	2	0	2	11	276	273
ENSMUSP00000113132-mafft-cds.fa	194	484	427.319587628866	191	1	38	0	0	484	482	0	156	484	452.5576923076923	153	1	0	11	0	279	277
ENSMUSP00000048825-mafft-cds.fa	185	106	94.5945945945946	165	9	16	0	10	85	78	10	169	96	93.56213017751479	147	10	0	1	6	24	23
ENSMUSP00000046118-mafft-cds.fa	193	422	396.4300518134715	185	3	36	8	2	226	226	0	157	422	419.19745222929936	149	3	0	57	1	78	78
ENSMUSP00000113103-mafft-cds.fa	193	212	206.42487046632124	177	8	11	0	0	165	165	0	182	212	209.9065934065934	166	8	0	10	0	67	67
ENSMUSP00000018337-mafft-cds.fa	193	438	371.7720207253886	187	3	40	0	1	438	399	43	153	395	390.41830065359477	149	2	0	37	1	169	169
ENSMUSP00000035366-mafft-cds.fa	193	315	151.84974093264248	193	0	192	0	0	314	222	0	1	315	303.0	1	0	0	315	0	0	0
ENSMUSP00000041701-mafft-cds.fa	194	985	885.2938144329897	194	0	25	8	2	901	894	15	169	970	909.0118343195267	169	0	0	19	1	849	848
ENSMUSP00000150376-mafft-cds.fa	190	109	88.02631578947368	140	14	98	0	0	109	109	0	92	109	109.0	71	5	0	28	0	0	0
ENSMUSP00000055994-mafft-cds.fa	191	318	310.3089005235602	181	4	9	2	0	247	247	0	182	318	315.8626373626374	172	4	0	31	0	26	26
ENSMUSP00000021187-mafft-cds.fa	194	298	283.88659793814435	191	1	9	0	2	298	291	4	185	294	287.02162162162165	182	1	0	8	2	107	102
ENSMUSP00000109251-mafft-cds.fa	193	316	259.6062176165803	191	1	58	0	0	316	300	20	135	296	279.94814814814816	133	1	0	7	0	208	206
ENSMUSP00000046074-mafft-cds.fa	193	550	471.9637305699482	193	0	46	6	0	483	474	12	147	538	498.3673469387755	147	0	0	8	0	395	394
ENSMUSP00000020157-mafft-cds.fa	194	680	625.6546391752578	194	0	24	0	0	679	679	0	170	680	649.4058823529411	170	0	0	6	0	576	576
ENSMUSP00000100973-mafft-cds.fa	194	1130	1008.5	194	0	27	0	1	1067	1042	20	167	1110	1063.754491017964	167	0	0	21	1	757	750
ENSMUSP00000006105-mafft-cds.fa	193	417	390.4715025906736	193	0	22	0	54	417	417	0	171	417	406.16959064327483	171	0	0	14	50	239	239
ENSMUSP00000095568-mafft-cds.fa	193	733	684.7357512953367	189	2	13	0	0	732	730	4	180	729	698.8833333333333	176	2	0	14	0	579	579
ENSMUSP00000130685-mafft-cds.fa	194	687	581.7577319587629	194	0	84	0	0	687	673	13	110	674	645.209090909091	110	0	0	46	0	295	290
ENSMUSP00000132823-mafft-cds.fa	151	42	33.09933774834437	65	18	64	0	0	42	42	0	87	42	41.98850574712644	50	8	0	6	0	0	0
ENSMUSP00000113863-mafft-cds.fa	194	709	687.4742268041238	194	0	10	0	0	570	567	4	184	705	695.2717391304348	184	0	0	50	0	297	296
ENSMUSP00000035007-mafft-cds.fa	188	59	41.65425531914894	100	18	104	0	0	59	59	0	84	59	59.0	54	6	0	7	0	0	0
ENSMUSP00000023128-mafft-cds.fa	194	763	639.4742268041238	194	0	47	0	0	663	599	74	147	689	654.1088435374149	147	0	0	21	0	412	411
ENSMUSP00000063136-mafft-cds.fa	193	366	359.82901554404145	187	2	7	6	0	200	200	0	186	366	363.994623655914	180	2	0	14	0	106	106
ENSMUSP00000156614-mafft-cds.fa	167	21	20.98802395209581	49	23	0	3	0	0	0	0	167	21	20.98802395209581	49	23	0	3	0	0	0
ENSMUSP00000082800-mafft-cds.fa	190	293	248.2736842105263	177	3	53	0	0	293	291	0	137	293	284.46715328467155	135	1	0	38	0	111	109
ENSMUSP00000133434-mafft-cds.fa	193	291	278.9637305699482	187	3	6	0	4	270	270	0	187	291	283.03208556149735	181	3	0	12	4	152	152
ENSMUSP00000004964-mafft-cds.fa	193	239	209.21243523316062	191	1	65	0	1	239	239	0	128	239	232.3984375	126	1	0	18	1	23	23
ENSMUSP00000123544-mafft-cds.fa	194	381	350.3144329896907	194	0	20	0	0	381	380	0	174	381	361.3333333333333	174	0	0	0	0	311	310
ENSMUSP00000152343-mafft-cds.fa	187	42	42.0	83	20	0	4	0	0	0	0	187	42	42.0	83	20	0	4	0	0	0
ENSMUSP00000099446-mafft-cds.fa	182	48	45.57692307692308	107	20	18	0	0	29	29	0	164	48	47.94512195121951	98	18	0	5	0	2	2
ENSMUSP00000006774-mafft-cds.fa	193	451	423.7046632124352	187	3	17	0	2	427	426	0	176	451	433.75	170	3	0	0	2	382	381
ENSMUSP00000114026-mafft-cds.fa	193	551	475.26943005181346	189	2	40	0	0	551	531	22	153	529	513.8692810457517	151	1	0	41	0	288	287
ENSMUSP00000001565-mafft-cds.fa	192	312	290.140625	190	1	20	0	0	284	280	5	172	307	298.5406976744186	170	1	0	6	0	224	223
ENSMUSP00000032627-mafft-cds.fa	193	739	683.4611398963731	193	0	11	13	0	607	585	25	182	714	687.8351648351648	182	0	0	13	0	503	502
ENSMUSP00000025393-mafft-cds.fa	194	473	450.9587628865979	192	1	12	1	1	330	329	0	182	473	459.0934065934066	180	1	0	28	1	268	267
ENSMUSP00000099411-mafft-cds.fa	193	583	501.4974093264249	193	0	38	0	0	583	570	15	155	568	520.941935483871	155	0	0	6	0	340	338
ENSMUSP00000002840-mafft-cds.fa	192	428	386.515625	188	2	29	0	3	428	423	4	163	424	410.3312883435583	159	2	0	12	2	231	228
ENSMUSP00000023684-mafft-cds.fa	193	304	289.73056994818654	187	3	15	0	1	304	304	0	178	304	296.23595505617976	172	3	0	5	1	154	154
ENSMUSP00000030917-mafft-cds.fa	194	657	578.0824742268042	190	2	55	0	5	657	653	12	139	645	628.0	135	2	0	48	5	377	376
ENSMUSP00000071729-mafft-cds.fa	186	68	66.0	131	15	12	2	0	34	34	0	174	68	67.94252873563218	123	13	0	8	0	4	4
ENSMUSP00000001854-mafft-cds.fa	194	469	414.11340206185565	194	0	35	0	0	469	467	0	159	469	433.61006289308176	159	0	0	13	0	385	383
ENSMUSP00000114967-mafft-cds.fa	186	137	120.48387096774194	164	10	28	0	127	137	132	9	158	128	126.81645569620254	143	7	0	8	121	15	15
ENSMUSP00000035260-mafft-cds.fa	194	520	473.80927835051546	194	0	26	0	0	520	515	6	168	514	492.45238095238096	168	0	0	2	0	437	436
ENSMUSP00000128401-mafft-cds.fa	193	367	316.2746113989637	191	1	49	0	0	367	366	0	144	367	340.8958333333333	142	1	0	0	0	274	273
ENSMUSP00000106128-mafft-cds.fa	192	214	173.61979166666666	187	2	57	0	8	214	198	19	135	195	185.98518518518517	130	2	0	5	6	91	86
ENSMUSP00000117009-mafft-cds.fa	193	347	333.9119170984456	193	0	10	0	1	202	202	0	183	347	340.9945355191257	183	0	0	8	1	141	141
ENSMUSP00000045445-mafft-cds.fa	193	734	566.8756476683938	191	1	100	0	0	734	653	0	93	734	628.763440860215	93	0	0	132	0	258	177
ENSMUSP00000104795-mafft-cds.fa	193	103	97.48186528497409	152	11	29	0	1	39	39	0	164	103	102.77439024390245	134	8	0	2	1	5	5
ENSMUSP00000028764-mafft-cds.fa	154	40	37.07142857142857	81	17	36	2	0	17	17	0	118	40	39.92372881355932	59	15	0	5	0	0	0
ENSMUSP00000041793-mafft-cds.fa	193	362	351.99481865284974	189	2	5	0	0	290	288	0	188	362	355.03723404255317	184	2	0	2	0	166	164
ENSMUSP00000040198-mafft-cds.fa	194	392	336.0360824742268	194	0	48	0	0	392	385	7	146	385	357.4178082191781	146	0	0	7	0	320	318
ENSMUSP00000021956-mafft-cds.fa	194	523	477.5	190	2	15	0	0	497	476	25	179	498	485.0391061452514	175	2	0	7	0	247	247
ENSMUSP00000025081-mafft-cds.fa	193	1173	1003.7253886010362	193	0	32	0	4	1173	1086	119	161	1054	1006.5403726708074	161	0	0	49	1	389	383
ENSMUSP00000056188-mafft-cds.fa	193	265	160.53886010362694	172	6	126	0	0	265	255	0	67	265	235.67164179104478	67	0	0	59	0	83	73
ENSMUSP00000050181-mafft-cds.fa	193	547	507.78756476683935	191	1	22	0	3	500	498	0	171	547	526.8654970760234	169	1	0	1	1	404	402
ENSMUSP00000035551-mafft-cds.fa	120	44	42.141666666666666	78	11	12	0	0	35	35	0	108	44	43.9537037037037	68	10	0	5	0	1	1
ENSMUSP00000065485-mafft-cds.fa	193	211	206.78238341968913	188	2	2	1	0	119	118	0	191	211	207.77486910994764	186	2	0	2	0	61	60
ENSMUSP00000118434-mafft-cds.fa	193	178	128.21243523316062	156	12	169	0	0	178	136	0	24	178	169.91666666666666	22	1	0	54	0	72	72
ENSMUSP00000028337-mafft-cds.fa	185	347	316.94594594594594	185	0	12	0	0	347	331	24	173	323	316.5895953757225	173	0	0	14	0	79	77
ENSMUSP00000006217-mafft-cds.fa	193	231	188.5336787564767	178	7	31	10	0	152	116	36	162	195	193.96913580246914	145	8	0	23	0	1	0
ENSMUSP00000036226-mafft-cds.fa	192	284	201.265625	190	1	190	0	0	284	227	0	2	284	245.5	2	0	0	217	0	20	0
ENSMUSP00000095970-mafft-cds.fa	193	177	176.22279792746113	185	4	2	7	0	42	42	0	191	177	176.7696335078534	183	4	0	15	0	4	4
ENSMUSP00000020439-mafft-cds.fa	193	267	229.33678756476684	189	2	49	4	0	228	224	4	144	263	247.93055555555554	142	1	0	5	0	224	222
ENSMUSP00000003436-mafft-cds.fa	193	327	279.4145077720207	183	4	47	0	0	326	305	22	146	305	292.3150684931507	142	2	0	21	0	163	162
ENSMUSP00000054834-mafft-cds.fa	193	208	192.2901554404145	181	5	14	2	18	128	119	13	179	195	189.7709497206704	167	5	0	3	18	71	69
ENSMUSP00000060640-mafft-cds.fa	193	458	375.9896373056995	193	0	59	0	1	458	442	21	134	437	408.4925373134328	134	0	0	1	0	380	379
ENSMUSP00000058572-mafft-cds.fa	194	1514	1418.3556701030927	194	0	12	0	0	1514	1512	0	182	1514	1447.5714285714287	182	0	0	4	0	1206	1204
ENSMUSP00000083928-mafft-cds.fa	194	868	759.479381443299	194	0	35	1	0	777	774	4	159	864	794.8805031446541	159	0	0	38	0	546	545
ENSMUSP00000125312-mafft-cds.fa	193	686	504.10362694300517	193	0	119	0	0	686	638	0	74	686	595.6621621621622	74	0	0	94	0	445	397
ENSMUSP00000027800-mafft-cds.fa	192	549	441.0572916666667	192	0	78	2	0	516	498	25	114	524	485.60526315789474	114	0	0	5	0	405	404
ENSMUSP00000153718-mafft-cds.fa	192	426	404.859375	187	1	11	0	0	346	344	3	181	423	409.9944751381216	176	1	0	12	0	209	209
ENSMUSP00000023741-mafft-cds.fa	194	5289	3679.144329896907	194	0	194	5	3	4952	3746	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000105312-mafft-cds.fa	193	1887	1053.9067357512954	193	0	193	0	3	1887	1274	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000151739-mafft-cds.fa	192	319	296.140625	192	0	17	1	0	259	246	16	175	303	300.4971428571429	175	0	0	7	0	74	73
ENSMUSP00000133499-mafft-cds.fa	193	197	184.75129533678756	189	2	20	0	1	116	115	0	173	197	190.08670520231215	169	2	0	5	1	33	32
ENSMUSP00000075331-mafft-cds.fa	182	92	77.95604395604396	163	9	29	0	0	62	55	10	153	82	79.16993464052288	141	6	0	1	0	11	11
ENSMUSP00000106894-mafft-cds.fa	194	482	458.12371134020617	192	1	8	0	0	482	473	11	186	471	462.1774193548387	184	1	0	10	0	273	273
ENSMUSP00000084582-mafft-cds.fa	194	486	386.63917525773195	194	0	88	0	2	456	439	20	106	466	429.9622641509434	106	0	0	13	2	320	318
ENSMUSP00000025439-mafft-cds.fa	194	423	328.79896907216494	194	0	107	0	0	423	393	0	87	423	372.367816091954	87	0	0	11	0	256	226
ENSMUSP00000028964-mafft-cds.fa	193	386	354.04663212435236	189	2	26	0	11	356	352	4	167	382	367.49101796407183	163	2	0	6	10	268	266
ENSMUSP00000137116-mafft-cds.fa	184	142	129.5326086956522	178	3	25	3	0	101	100	0	159	142	138.28930817610063	153	3	0	3	0	30	29
ENSMUSP00000112776-mafft-cds.fa	194	1419	1185.319587628866	194	0	46	0	2	1419	1348	87	148	1332	1219.1486486486488	148	0	0	55	1	862	856
ENSMUSP00000110955-mafft-cds.fa	194	731	630.9020618556701	194	0	29	0	1	731	708	25	165	706	645.939393939394	165	0	0	14	0	541	537
ENSMUSP00000028761-mafft-cds.fa	193	470	455.1139896373057	191	1	10	0	1	469	466	0	183	470	465.37704918032784	181	1	0	22	1	116	113
ENSMUSP00000041985-mafft-cds.fa	193	1022	930.3212435233161	193	0	22	0	5	1022	1007	14	171	1008	969.421052631579	171	0	0	25	4	659	652
ENSMUSP00000059798-mafft-cds.fa	194	342	273.7319587628866	189	2	65	0	1	319	291	31	129	311	291.2403100775194	127	1	0	21	1	147	144
ENSMUSP00000017836-mafft-cds.fa	192	303	269.90625	190	1	37	0	0	246	246	0	155	303	283.541935483871	153	1	0	13	0	152	152
ENSMUSP00000045827-mafft-cds.fa	194	318	284.3453608247423	192	1	31	0	1	318	308	8	163	310	298.8036809815951	161	1	0	4	0	104	100
ENSMUSP00000057595-mafft-cds.fa	193	470	366.8911917098446	191	1	90	0	0	470	455	21	103	449	405.5339805825243	101	1	0	13	0	287	287
ENSMUSP00000048113-mafft-cds.fa	192	396	371.6302083333333	190	1	13	1	1	315	303	16	179	380	373.3519553072626	177	1	0	10	1	78	75
ENSMUSP00000118756-mafft-cds.fa	194	934	767.8711340206186	194	0	67	0	0	908	883	29	127	905	816.992125984252	127	0	0	17	0	729	726
ENSMUSP00000028783-mafft-cds.fa	193	272	258.53367875647666	177	6	4	8	0	149	144	7	189	265	257.8783068783069	173	6	0	12	0	92	92
ENSMUSP00000054343-mafft-cds.fa	194	228	220.34536082474227	184	5	9	0	0	228	226	4	185	224	223.6	175	5	0	27	0	24	24
ENSMUSP00000026225-mafft-cds.fa	194	825	742.3298969072165	194	0	18	0	2	740	725	17	176	808	760.0852272727273	176	0	0	11	0	528	526
ENSMUSP00000065254-mafft-cds.fa	193	193	158.25906735751295	172	8	63	0	0	173	156	18	130	175	173.85384615384615	114	6	0	48	0	8	7
ENSMUSP00000091620-mafft-cds.fa	194	1626	1361.5515463917525	194	0	41	0	0	1603	1519	124	153	1502	1455.0718954248366	153	0	0	118	0	627	623
ENSMUSP00000110467-mafft-cds.fa	194	522	468.0979381443299	194	0	25	11	62	427	416	11	169	511	479.63313609467457	169	0	0	31	57	284	280
ENSMUSP00000099867-mafft-cds.fa	194	2254	1489.180412371134	194	0	190	0	0	2230	1816	0	4	2254	1853.0	4	0	0	1626	0	369	24
ENSMUSP00000133309-mafft-cds.fa	183	83	62.595628415300546	65	25	104	0	0	83	83	0	79	83	83.0	28	11	0	45	0	0	0
ENSMUSP00000108039-mafft-cds.fa	193	239	221.52849740932643	188	2	39	0	0	236	236	0	154	239	236.7792207792208	151	1	0	18	0	39	39
ENSMUSP00000050309-mafft-cds.fa	192	250	193.03645833333334	192	0	71	0	0	250	225	36	121	214	203.56198347107437	119	1	0	26	0	100	99
ENSMUSP00000024734-mafft-cds.fa	193	121	120.27461139896373	171	7	2	1	0	40	40	0	191	121	120.64397905759162	169	7	0	1	0	20	20
ENSMUSP00000118415-mafft-cds.fa	193	134	121.81347150259067	186	3	46	0	0	134	132	4	147	130	129.8639455782313	140	3	0	8	0	1	1
ENSMUSP00000028944-mafft-cds.fa	194	482	424.4742268041237	194	0	52	0	0	392	389	4	142	478	453.4366197183099	142	0	0	13	0	278	277
ENSMUSP00000022977-mafft-cds.fa	193	334	302.04663212435236	191	1	29	0	1	334	333	0	164	334	320.2134146341463	162	1	0	5	1	185	184
ENSMUSP00000039628-mafft-cds.fa	194	1107	662.4690721649484	194	0	186	0	2	1107	924	0	8	1107	932.5	8	0	0	613	0	213	79
ENSMUSP00000109151-mafft-cds.fa	193	713	547.1036269430052	193	0	96	0	0	713	654	45	97	668	614.9587628865979	97	0	0	55	0	307	287
ENSMUSP00000097815-mafft-cds.fa	194	434	402.99484536082474	192	1	12	0	0	352	352	0	182	434	409.56043956043953	180	1	0	40	0	217	217
ENSMUSP00000068940-mafft-cds.fa	193	615	506.4974093264249	193	0	68	0	0	615	599	16	125	599	552.736	125	0	0	39	0	345	342
