loci	withRef_len	noRef_len
ENSMUSG00000021610.phy	7008	6960
ENSMUSG00000021611.phy	2948	1762
ENSMUSG00000021612.phy	2199	2098
ENSMUSG00000021613.phy	814	802
ENSMUSG00000021615.phy	407	405
ENSMUSG00000021619.phy	1739	1702
ENSMUSG00000021620.phy	689	632
ENSMUSG00000021621.phy	679	674
ENSMUSG00000021622.phy	3656	3714
ENSMUSG00000021624.phy	2352	2352
ENSMUSG00000021629.phy	2658	2308
ENSMUSG00000021635.phy	3268	3191
ENSMUSG00000021636.phy	2801	3218
ENSMUSG00000021638.phy	3672	1555
ENSMUSG00000021639.phy	5348	5360
ENSMUSG00000021643.phy	302	291
ENSMUSG00000021645.phy	1041	1068
ENSMUSG00000021646.phy	4178	1018
ENSMUSG00000021647.phy	497	903
ENSMUSG00000021650.phy	380	792
ENSMUSG00000021662.phy	6138	5984
ENSMUSG00000021665.phy	247	1632
ENSMUSG00000021666.phy	3780	5892
ENSMUSG00000021668.phy	646	646
ENSMUSG00000021669.phy	5398	4316
ENSMUSG00000021670.phy	1468	1451
ENSMUSG00000021671.phy	668	677
ENSMUSG00000021676.phy	6937	2866
ENSMUSG00000021680.phy	923	588
ENSMUSG00000021681.phy	1460	1127
ENSMUSG00000021684.phy	4976	9203
ENSMUSG00000021685.phy	495	944
ENSMUSG00000021686.phy	2245	10832
ENSMUSG00000021687.phy	514	481
ENSMUSG00000021690.phy	3322	3338
ENSMUSG00000021692.phy	2028	2319
ENSMUSG00000021693.phy	853	851
ENSMUSG00000021694.phy	1964	2568
ENSMUSG00000021697.phy	1479	2690
ENSMUSG00000021699.phy	3841	3974
ENSMUSG00000021700.phy	1717	879
ENSMUSG00000021701.phy	3010	2406
ENSMUSG00000021702.phy	1761	1794
ENSMUSG00000021703.phy	487	480
ENSMUSG00000021704.phy	759	770
ENSMUSG00000021706.phy	11185	9838
ENSMUSG00000021707.phy	200	425
ENSMUSG00000021710.phy	1628	4301
ENSMUSG00000021711.phy	5786	2927
ENSMUSG00000021712.phy	1991	4595
ENSMUSG00000021713.phy	1729	755
ENSMUSG00000021715.phy	1596	676
ENSMUSG00000021720.phy	1523	1521
ENSMUSG00000021725.phy	11225	11121
ENSMUSG00000021730.phy	3235	3185
ENSMUSG00000021731.phy	1694	1696
ENSMUSG00000021732.phy	132	131
ENSMUSG00000021733.phy	8532	3883
ENSMUSG00000021737.phy	1259	1254
ENSMUSG00000021738.phy	1132	1290
ENSMUSG00000021743.phy	1922	2294
ENSMUSG00000021745.phy	7955	3793
ENSMUSG00000021748.phy	3119	2888
ENSMUSG00000021750.phy	675	694
ENSMUSG00000021751.phy	1767	1786
ENSMUSG00000021752.phy	841	839
ENSMUSG00000021756.phy	828	724
ENSMUSG00000021758.phy	5673	2322
ENSMUSG00000021759.phy	277	273
ENSMUSG00000021760.phy	713	1010
ENSMUSG00000021763.phy	2401	2294
ENSMUSG00000021764.phy	163	164
ENSMUSG00000021765.phy	727	724
ENSMUSG00000021767.phy	6667	7342
ENSMUSG00000021770.phy	717	724
ENSMUSG00000021771.phy	1108	1687
ENSMUSG00000021772.phy	1187	656
ENSMUSG00000021773.phy	731	753
ENSMUSG00000021774.phy	612	633
ENSMUSG00000021775.phy	1495	1490
ENSMUSG00000021779.phy	756	791
ENSMUSG00000021782.phy	6475	13347
ENSMUSG00000021785.phy	2954	5496
ENSMUSG00000021786.phy	1215	1230
ENSMUSG00000021789.phy	1977	1970
ENSMUSG00000021792.phy	271	264
ENSMUSG00000021794.phy	5490	4707
ENSMUSG00000021795.phy	925	1340
ENSMUSG00000021796.phy	2918	2260
ENSMUSG00000021798.phy	2192	2177
ENSMUSG00000021799.phy	2803	1572
ENSMUSG00000021803.phy	7144	7064
ENSMUSG00000021804.phy	737	294
ENSMUSG00000021806.phy	1386	1438
ENSMUSG00000021807.phy	569	473
ENSMUSG00000021809.phy	1246	553
ENSMUSG00000021810.phy	858	485
ENSMUSG00000021811.phy	420	438
ENSMUSG00000021814.phy	1429	676
ENSMUSG00000021815.phy	2186	2776
ENSMUSG00000021816.phy	4172	4445
ENSMUSG00000021820.phy	1614	4660
ENSMUSG00000021822.phy	925	935
ENSMUSG00000021823.phy	12339	12242
ENSMUSG00000021824.phy	4295	4320
ENSMUSG00000021830.phy	2681	6000
ENSMUSG00000021831.phy	400	387
ENSMUSG00000021832.phy	875	876
ENSMUSG00000021835.phy	1957	1972
ENSMUSG00000021838.phy	6228	6128
ENSMUSG00000021840.phy	643	640
ENSMUSG00000021843.phy	12686	12023
ENSMUSG00000021846.phy	1977	1985
ENSMUSG00000021852.phy	1259	1574
ENSMUSG00000021866.phy	6465	2657
ENSMUSG00000021868.phy	1250	886
ENSMUSG00000021870.phy	6897	6275
ENSMUSG00000021877.phy	1413	1077
ENSMUSG00000021891.phy	159	162
ENSMUSG00000021892.phy	1657	1660
ENSMUSG00000021893.phy	9735	9533
ENSMUSG00000021895.phy	1282	1283
ENSMUSG00000021898.phy	1361	1367
ENSMUSG00000021900.phy	3019	2827
ENSMUSG00000021901.phy	1189	1216
ENSMUSG00000021903.phy	1155	1165
ENSMUSG00000021904.phy	4789	2472
ENSMUSG00000021905.phy	732	898
ENSMUSG00000021906.phy	2474	2464
ENSMUSG00000021910.phy	6718	8613
ENSMUSG00000021911.phy	3364	3389
ENSMUSG00000021913.phy	8441	6976
ENSMUSG00000021916.phy	1789	2091
ENSMUSG00000021917.phy	1080	967
ENSMUSG00000021918.phy	1224	490
ENSMUSG00000021919.phy	1435	1435
ENSMUSG00000021928.phy	676	666
ENSMUSG00000021929.phy	7047	6113
ENSMUSG00000021930.phy	399	427
ENSMUSG00000021932.phy	1623	1017
ENSMUSG00000021933.phy	3310	4366
ENSMUSG00000021936.phy	631	631
ENSMUSG00000021938.phy	1868	2618
ENSMUSG00000021939.phy	2398	2504
ENSMUSG00000021940.phy	1792	1795
ENSMUSG00000021943.phy	1046	1046
ENSMUSG00000021944.phy	2927	2877
ENSMUSG00000021945.phy	8107	9296
ENSMUSG00000021947.phy	1102	357
ENSMUSG00000021948.phy	4717	6546
ENSMUSG00000021950.phy	424	308
ENSMUSG00000021951.phy	849	843
ENSMUSG00000021952.phy	4270	4261
ENSMUSG00000021953.phy	550	560
ENSMUSG00000021957.phy	3239	925
ENSMUSG00000021958.phy	2117	455
ENSMUSG00000021961.phy	1661	1660
ENSMUSG00000021962.phy	1590	2277
ENSMUSG00000021969.phy	2534	2134
ENSMUSG00000021972.phy	2900	2912
ENSMUSG00000021973.phy	1642	1939
ENSMUSG00000021974.phy	602	320
ENSMUSG00000021975.phy	4274	4281
ENSMUSG00000021978.phy	2794	2786
ENSMUSG00000021981.phy	2288	2214
ENSMUSG00000021983.phy	4086	4207
ENSMUSG00000021987.phy	3938	5037
ENSMUSG00000021990.phy	943	5492
ENSMUSG00000021991.phy	5732	5814
ENSMUSG00000021993.phy	3783	3813
ENSMUSG00000021994.phy	1344	1371
ENSMUSG00000021996.phy	173	176
ENSMUSG00000021998.phy	2860	2935
ENSMUSG00000021999.phy	510	3044
ENSMUSG00000022000.phy	3456	3489
ENSMUSG00000022003.phy	2230	2260
ENSMUSG00000022008.phy	1463	689
ENSMUSG00000022009.phy	3591	578
ENSMUSG00000022010.phy	2505	2454
ENSMUSG00000022012.phy	1555	1613
ENSMUSG00000022013.phy	1033	246
ENSMUSG00000022014.phy	715	716
ENSMUSG00000022016.phy	5509	5954
ENSMUSG00000022018.phy	362	328
ENSMUSG00000022020.phy	4794	4763
ENSMUSG00000022021.phy	7266	7278
ENSMUSG00000022022.phy	969	953
ENSMUSG00000022023.phy	1041	239
ENSMUSG00000022024.phy	321	770
ENSMUSG00000022025.phy	642	2134
ENSMUSG00000022026.phy	1653	1622
ENSMUSG00000022031.phy	582	589
ENSMUSG00000022032.phy	4343	4221
ENSMUSG00000022033.phy	2738	3033
ENSMUSG00000022034.phy	1573	1577
ENSMUSG00000022035.phy	1473	1500
ENSMUSG00000022037.phy	699	703
ENSMUSG00000022039.phy	866	883
ENSMUSG00000022040.phy	1808	1815
ENSMUSG00000022041.phy	686	708
ENSMUSG00000022043.phy	2789	2704
ENSMUSG00000022044.phy	2129	2941
ENSMUSG00000022048.phy	7380	2919
ENSMUSG00000022051.phy	486	482
ENSMUSG00000022052.phy	589	596
ENSMUSG00000022053.phy	7070	7005
ENSMUSG00000022055.phy	1617	2220
ENSMUSG00000022056.phy	1951	2225
ENSMUSG00000022064.phy	2035	2055
ENSMUSG00000022075.phy	4887	2689
ENSMUSG00000022089.phy	565	569
ENSMUSG00000022090.phy	1922	4121
ENSMUSG00000022091.phy	5513	5028
ENSMUSG00000022092.phy	5076	5028
ENSMUSG00000022094.phy	553	559
ENSMUSG00000022095.phy	3334	3350
ENSMUSG00000022096.phy	7464	7504
ENSMUSG00000022097.phy	801	824
ENSMUSG00000022098.phy	8465	8488
ENSMUSG00000022099.phy	4696	4707
ENSMUSG00000022100.phy	5515	5533
ENSMUSG00000022101.phy	880	1026
ENSMUSG00000022102.phy	1864	1885
ENSMUSG00000022103.phy	508	490
ENSMUSG00000022105.phy	10672	3372
ENSMUSG00000022106.phy	4259	2922
ENSMUSG00000022108.phy	1377	1372
ENSMUSG00000022109.phy	1451	1455
ENSMUSG00000022110.phy	3545	3360
ENSMUSG00000022119.phy	2576	8538
ENSMUSG00000022120.phy	331	333
ENSMUSG00000022122.phy	2427	2474
ENSMUSG00000022123.phy	2336	1205
ENSMUSG00000022124.phy	342	339
ENSMUSG00000022130.phy	275	278
ENSMUSG00000022136.phy	3503	3085
ENSMUSG00000022139.phy	2333	2499
ENSMUSG00000022141.phy	7662	7758
ENSMUSG00000022142.phy	11274	5996
ENSMUSG00000022144.phy	356	358
ENSMUSG00000022146.phy	258	264
ENSMUSG00000022148.phy	2154	2181
ENSMUSG00000022150.phy	7135	7155
ENSMUSG00000022151.phy	561	562
ENSMUSG00000022159.phy	133	139
ENSMUSG00000022160.phy	2223	1953
ENSMUSG00000022174.phy	917	461
ENSMUSG00000022175.phy	1517	1368
ENSMUSG00000022176.phy	712	698
ENSMUSG00000022177.phy	1801	620
ENSMUSG00000022178.phy	1569	1577
ENSMUSG00000022179.phy	2456	2511
ENSMUSG00000022180.phy	4764	4644
ENSMUSG00000022184.phy	988	1042
ENSMUSG00000022185.phy	3246	3258
ENSMUSG00000022186.phy	278	235
ENSMUSG00000022191.phy	4962	1205
ENSMUSG00000022193.phy	296	297
ENSMUSG00000022194.phy	1163	1225
ENSMUSG00000022195.phy	1623	1913
ENSMUSG00000022197.phy	1271	1273
ENSMUSG00000022200.phy	677	683
ENSMUSG00000022201.phy	5915	5918
ENSMUSG00000022203.phy	2379	2673
ENSMUSG00000022204.phy	1837	2203
ENSMUSG00000022205.phy	258	250
ENSMUSG00000022206.phy	1013	1018
ENSMUSG00000022208.phy	2847	2855
ENSMUSG00000022209.phy	2180	2178
ENSMUSG00000022210.phy	669	677
ENSMUSG00000022211.phy	6861	6902
ENSMUSG00000022212.phy	4386	4400
ENSMUSG00000022214.phy	6326	4177
ENSMUSG00000022215.phy	1260	1260
ENSMUSG00000022217.phy	3377	3410
ENSMUSG00000022218.phy	4795	4714
ENSMUSG00000022220.phy	2733	2734
ENSMUSG00000022223.phy	1942	1863
ENSMUSG00000022225.phy	1023	1516
ENSMUSG00000022228.phy	352	1555
ENSMUSG00000022229.phy	4630	4679
ENSMUSG00000022231.phy	3704	3655
ENSMUSG00000022234.phy	1084	1068
ENSMUSG00000022235.phy	359	780
ENSMUSG00000022236.phy	718	655
ENSMUSG00000022237.phy	1220	1139
ENSMUSG00000022240.phy	7818	7845
ENSMUSG00000022241.phy	5915	5802
ENSMUSG00000022243.phy	2817	2333
ENSMUSG00000022245.phy	5236	5318
ENSMUSG00000022246.phy	258	248
ENSMUSG00000022247.phy	477	521
ENSMUSG00000022248.phy	645	615
ENSMUSG00000022253.phy	2817	3224
ENSMUSG00000022255.phy	5553	6281
ENSMUSG00000022257.phy	325	1511
ENSMUSG00000022261.phy	2161	1011
ENSMUSG00000022263.phy	5106	5199
ENSMUSG00000022265.phy	984	4166
ENSMUSG00000022269.phy	1692	1665
ENSMUSG00000022272.phy	3969	3967
ENSMUSG00000022280.phy	1450	2024
ENSMUSG00000022283.phy	1293	1294
ENSMUSG00000022285.phy	924	2199
ENSMUSG00000022286.phy	4596	3339
ENSMUSG00000022292.phy	658	2252
ENSMUSG00000022295.phy	4654	4612
ENSMUSG00000022297.phy	2542	2860
ENSMUSG00000022299.phy	1952	1990
ENSMUSG00000022300.phy	5636	2793
ENSMUSG00000022304.phy	1334	1433
ENSMUSG00000022305.phy	1916	4178
ENSMUSG00000022306.phy	3217	3242
ENSMUSG00000022307.phy	2045	2063
ENSMUSG00000022309.phy	1833	1792
ENSMUSG00000022313.phy	359	941
ENSMUSG00000022314.phy	3863	1159
ENSMUSG00000022315.phy	274	277
ENSMUSG00000022321.phy	3553	3759
ENSMUSG00000022322.phy	3975	3963
ENSMUSG00000022324.phy	1521	1518
ENSMUSG00000022325.phy	2217	2220
ENSMUSG00000022329.phy	2602	1178
ENSMUSG00000022330.phy	751	751
ENSMUSG00000022332.phy	357	356
ENSMUSG00000022335.phy	4516	7779
ENSMUSG00000022337.phy	1849	1755
ENSMUSG00000022338.phy	1189	1185
ENSMUSG00000022339.phy	1756	1805
ENSMUSG00000022340.phy	2352	326
ENSMUSG00000022342.phy	1384	1398
ENSMUSG00000022346.phy	1054	1054
ENSMUSG00000022347.phy	3196	3189
ENSMUSG00000022350.phy	3064	3106
ENSMUSG00000022351.phy	2941	2940
ENSMUSG00000022353.phy	3749	5156
ENSMUSG00000022354.phy	215	221
ENSMUSG00000022357.phy	2147	2182
ENSMUSG00000022358.phy	455	1645
ENSMUSG00000022359.phy	260	459
ENSMUSG00000022360.phy	2409	3109
ENSMUSG00000022361.phy	2809	2816
ENSMUSG00000022364.phy	3792	3871
ENSMUSG00000022365.phy	2110	2270
ENSMUSG00000022367.phy	671	928
ENSMUSG00000022369.phy	1696	1417
ENSMUSG00000022370.phy	206	206
ENSMUSG00000022371.phy	7036	8914
ENSMUSG00000022372.phy	518	516
ENSMUSG00000022375.phy	2133	4605
ENSMUSG00000022376.phy	7412	7371
ENSMUSG00000022377.phy	8696	6784
ENSMUSG00000022378.phy	2995	3050
ENSMUSG00000022382.phy	537	549
ENSMUSG00000022383.phy	3502	3475
ENSMUSG00000022385.phy	3836	1799
ENSMUSG00000022386.phy	1743	3388
ENSMUSG00000022387.phy	7946	7876
ENSMUSG00000022389.phy	933	901
ENSMUSG00000022390.phy	7030	7010
ENSMUSG00000022391.phy	1494	1485
ENSMUSG00000022394.phy	1237	1276
ENSMUSG00000022400.phy	324	103
ENSMUSG00000022401.phy	338	387
ENSMUSG00000022403.phy	912	873
ENSMUSG00000022404.phy	230	225
ENSMUSG00000022407.phy	1879	1906
ENSMUSG00000022408.phy	2377	2379
ENSMUSG00000022412.phy	2505	963
ENSMUSG00000022414.phy	3235	3239
ENSMUSG00000022415.phy	1503	1527
ENSMUSG00000022419.phy	903	1628
ENSMUSG00000022420.phy	138	133
ENSMUSG00000022421.phy	940	948
ENSMUSG00000022422.phy	1146	419
ENSMUSG00000022425.phy	1799	1580
ENSMUSG00000022426.phy	782	935
ENSMUSG00000022427.phy	459	1186
ENSMUSG00000022428.phy	542	557
ENSMUSG00000022429.phy	2552	2574
ENSMUSG00000022432.phy	5163	5254
ENSMUSG00000022433.phy	2190	2168
ENSMUSG00000022434.phy	2176	2165
ENSMUSG00000022435.phy	203	474
ENSMUSG00000022437.phy	1173	1143
ENSMUSG00000022438.phy	893	148
ENSMUSG00000022440.phy	234	1770
ENSMUSG00000022441.phy	1253	1429
ENSMUSG00000022442.phy	892	913
ENSMUSG00000022445.phy	2102	2108
ENSMUSG00000022449.phy	9813	3762
ENSMUSG00000022452.phy	339	181
ENSMUSG00000022453.phy	1422	1440
ENSMUSG00000022454.phy	1027	1019
ENSMUSG00000022455.phy	1825	1814
ENSMUSG00000022456.phy	2991	2999
ENSMUSG00000022462.phy	596	2983
ENSMUSG00000022463.phy	3143	3201
ENSMUSG00000022464.phy	1250	3274
ENSMUSG00000022466.phy	651	650
ENSMUSG00000022469.phy	8306	8294
ENSMUSG00000022471.phy	2640	606
ENSMUSG00000022472.phy	732	1401
ENSMUSG00000022474.phy	1031	2947
ENSMUSG00000022475.phy	5418	8734
ENSMUSG00000022476.phy	704	1732
ENSMUSG00000022477.phy	1316	1351
ENSMUSG00000022479.phy	2197	2648
ENSMUSG00000022483.phy	13570	6914
ENSMUSG00000022484.phy	697	697
ENSMUSG00000022485.phy	893	1150
ENSMUSG00000022487.phy	3076	3822
ENSMUSG00000022488.phy	8637	4770
ENSMUSG00000022489.phy	2220	2224
ENSMUSG00000022490.phy	1578	2519
ENSMUSG00000022496.phy	319	595
ENSMUSG00000022498.phy	1123	1117
ENSMUSG00000022500.phy	1020	1339
ENSMUSG00000022501.phy	196	131
ENSMUSG00000022503.phy	124	114
ENSMUSG00000022504.phy	1465	1477
ENSMUSG00000022505.phy	390	464
ENSMUSG00000022507.phy	1300	1293
ENSMUSG00000022508.phy	1284	1580
ENSMUSG00000022510.phy	3386	3960
ENSMUSG00000022514.phy	4663	2474
ENSMUSG00000022515.phy	5009	3256
ENSMUSG00000022516.phy	1475	1594
ENSMUSG00000022517.phy	6499	1706
ENSMUSG00000022519.phy	1942	1950
ENSMUSG00000022523.phy	431	684
ENSMUSG00000022525.phy	666	664
ENSMUSG00000022526.phy	1991	1970
ENSMUSG00000022528.phy	1508	382
ENSMUSG00000022529.phy	2482	2481
ENSMUSG00000022536.phy	3740	5260
ENSMUSG00000022537.phy	602	277
ENSMUSG00000022538.phy	2626	895
ENSMUSG00000022540.phy	751	775
ENSMUSG00000022544.phy	631	628
ENSMUSG00000022546.phy	2419	2419
ENSMUSG00000022548.phy	1033	1048
ENSMUSG00000022550.phy	2972	2971
ENSMUSG00000022551.phy	1450	1358
ENSMUSG00000022552.phy	1506	1766
ENSMUSG00000022553.phy	1757	1746
ENSMUSG00000022554.phy	366	776
ENSMUSG00000022555.phy	2477	2406
ENSMUSG00000022556.phy	4270	3737
ENSMUSG00000022557.phy	3056	3055
ENSMUSG00000022558.phy	13463	13355
ENSMUSG00000022559.phy	2260	2262
ENSMUSG00000022560.phy	1227	1925
ENSMUSG00000022561.phy	3255	3483
ENSMUSG00000022562.phy	3860	3861
ENSMUSG00000022564.phy	1672	1673
ENSMUSG00000022565.phy	13487	13475
ENSMUSG00000022568.phy	11195	11163
ENSMUSG00000022570.phy	2782	2782
ENSMUSG00000022571.phy	196	1665
ENSMUSG00000022574.phy	3347	3347
ENSMUSG00000022575.phy	2271	2264
ENSMUSG00000022579.phy	884	890
ENSMUSG00000022580.phy	1069	1059
ENSMUSG00000022587.phy	620	963
ENSMUSG00000022589.phy	2446	1616
ENSMUSG00000022594.phy	694	694
ENSMUSG00000022595.phy	912	883
ENSMUSG00000022596.phy	750	454
ENSMUSG00000022598.phy	376	391
ENSMUSG00000022601.phy	3181	3180
ENSMUSG00000022602.phy	739	739
ENSMUSG00000022604.phy	1349	1376
ENSMUSG00000022607.phy	8292	11146
ENSMUSG00000022610.phy	518	527
ENSMUSG00000022613.phy	930	973
ENSMUSG00000022614.phy	3089	3592
ENSMUSG00000022615.phy	838	822
ENSMUSG00000022617.phy	557	603
ENSMUSG00000022619.phy	4866	5810
ENSMUSG00000022620.phy	2714	2717
ENSMUSG00000022621.phy	2349	2352
ENSMUSG00000022622.phy	1186	1202
ENSMUSG00000022623.phy	1701	9444
ENSMUSG00000022629.phy	5251	10134
ENSMUSG00000022634.phy	1186	1149
ENSMUSG00000022635.phy	374	358
ENSMUSG00000022636.phy	573	577
ENSMUSG00000022637.phy	5825	5803
ENSMUSG00000022641.phy	10113	9770
ENSMUSG00000022652.phy	5963	2119
ENSMUSG00000022659.phy	361	365
ENSMUSG00000022661.phy	335	340
ENSMUSG00000022663.phy	527	533
ENSMUSG00000022664.phy	525	523
ENSMUSG00000022665.phy	4335	5082
ENSMUSG00000022668.phy	1196	2231
ENSMUSG00000022671.phy	185	178
ENSMUSG00000022672.phy	9269	9555
ENSMUSG00000022673.phy	6285	7059
ENSMUSG00000022674.phy	327	330
ENSMUSG00000022677.phy	852	1002
ENSMUSG00000022678.phy	220	218
ENSMUSG00000022679.phy	1005	1243
ENSMUSG00000022680.phy	7352	7385
ENSMUSG00000022681.phy	3435	3435
ENSMUSG00000022682.phy	4660	4627
ENSMUSG00000022683.phy	331	316
ENSMUSG00000022684.phy	613	629
ENSMUSG00000022685.phy	942	833
ENSMUSG00000022686.phy	2701	2700
ENSMUSG00000022687.phy	6310	7066
ENSMUSG00000022696.phy	609	608
ENSMUSG00000022705.phy	1822	1840
ENSMUSG00000022706.phy	149	146
ENSMUSG00000022707.phy	5346	3299
ENSMUSG00000022708.phy	2247	2274
ENSMUSG00000022710.phy	2505	2513
ENSMUSG00000022711.phy	453	426
ENSMUSG00000022715.phy	1392	1362
ENSMUSG00000022721.phy	1794	1808
ENSMUSG00000022722.phy	1110	1092
ENSMUSG00000022738.phy	512	808
ENSMUSG00000022742.phy	1073	341
ENSMUSG00000022744.phy	787	777
ENSMUSG00000022747.phy	402	423
ENSMUSG00000022748.phy	606	611
ENSMUSG00000022749.phy	5779	5835
ENSMUSG00000022750.phy	2189	2187
ENSMUSG00000022751.phy	1839	2558
ENSMUSG00000022752.phy	3688	5569
ENSMUSG00000022753.phy	1384	1395
ENSMUSG00000022756.phy	986	2742
ENSMUSG00000022757.phy	654	686
ENSMUSG00000022758.phy	1955	1363
ENSMUSG00000022759.phy	762	766
ENSMUSG00000022760.phy	2335	2335
ENSMUSG00000022761.phy	6482	5688
ENSMUSG00000022762.phy	5090	5889
ENSMUSG00000022763.phy	7086	7097
ENSMUSG00000022765.phy	2376	2575
ENSMUSG00000022766.phy	963	931
ENSMUSG00000022768.phy	1559	1557
ENSMUSG00000022769.phy	476	472
ENSMUSG00000022770.phy	8984	12028
ENSMUSG00000022771.phy	820	7568
ENSMUSG00000022773.phy	2439	370
ENSMUSG00000022779.phy	6573	6448
ENSMUSG00000022780.phy	1249	1240
ENSMUSG00000022783.phy	1983	2785
ENSMUSG00000022787.phy	1186	1235
ENSMUSG00000022788.phy	8235	8165
ENSMUSG00000022789.phy	767	764
ENSMUSG00000022790.phy	3222	3143
ENSMUSG00000022791.phy	4892	3404
ENSMUSG00000022792.phy	2325	2321
ENSMUSG00000022793.phy	246	2550
ENSMUSG00000022797.phy	5467	2247
ENSMUSG00000022799.phy	4165	4139
ENSMUSG00000022800.phy	412	408
ENSMUSG00000022801.phy	5819	862
ENSMUSG00000022802.phy	595	5122
ENSMUSG00000022803.phy	444	1697
ENSMUSG00000022805.phy	3972	2230
ENSMUSG00000022807.phy	3453	3415
ENSMUSG00000022808.phy	1146	1138
ENSMUSG00000022809.phy	3135	3132
ENSMUSG00000022811.phy	3252	3314
ENSMUSG00000022812.phy	4905	4913
ENSMUSG00000022814.phy	1862	1858
ENSMUSG00000022821.phy	4237	3650
ENSMUSG00000022822.phy	8092	6961
ENSMUSG00000022827.phy	1387	1412
ENSMUSG00000022828.phy	562	1440
ENSMUSG00000022829.phy	6238	6227
ENSMUSG00000022831.phy	2677	2689
ENSMUSG00000022832.phy	1457	2029
ENSMUSG00000022833.phy	3981	2701
ENSMUSG00000022836.phy	3889	3915
ENSMUSG00000022837.phy	7720	8171
ENSMUSG00000022838.phy	1081	1180
ENSMUSG00000022840.phy	8110	8045
ENSMUSG00000022844.phy	468	448
ENSMUSG00000022848.phy	1531	1497
ENSMUSG00000022849.phy	2135	2146
ENSMUSG00000022853.phy	2251	2252
ENSMUSG00000022855.phy	911	910
ENSMUSG00000022856.phy	617	623
ENSMUSG00000022858.phy	603	582
ENSMUSG00000022860.phy	676	696
ENSMUSG00000022861.phy	1593	1629
ENSMUSG00000022863.phy	848	321
ENSMUSG00000022864.phy	1099	1086
ENSMUSG00000022865.phy	1906	1660
ENSMUSG00000022876.phy	2719	2695
ENSMUSG00000022877.phy	442	431
ENSMUSG00000022878.phy	1217	1525
ENSMUSG00000022881.phy	2027	629
ENSMUSG00000022883.phy	4014	3970
ENSMUSG00000022884.phy	5606	5172
ENSMUSG00000022885.phy	3264	1230
ENSMUSG00000022886.phy	608	406
ENSMUSG00000022887.phy	2409	2225
ENSMUSG00000022889.phy	308	310
ENSMUSG00000022890.phy	487	488
ENSMUSG00000022892.phy	1078	1118
ENSMUSG00000022893.phy	1544	1608
ENSMUSG00000022894.phy	1859	2237
ENSMUSG00000022895.phy	318	304
ENSMUSG00000022897.phy	7709	7698
ENSMUSG00000022898.phy	1050	2666
ENSMUSG00000022899.phy	1867	1875
ENSMUSG00000022900.phy	887	882
ENSMUSG00000022905.phy	182	182
ENSMUSG00000022911.phy	555	555
ENSMUSG00000022912.phy	102	107
ENSMUSG00000022913.phy	107	112
ENSMUSG00000022914.phy	11898	6540
ENSMUSG00000022931.phy	840	862
ENSMUSG00000022935.phy	1689	7097
ENSMUSG00000022938.phy	1947	1523
ENSMUSG00000022945.phy	2565	2743
ENSMUSG00000022946.phy	5781	5825
ENSMUSG00000022947.phy	1131	1345
ENSMUSG00000022948.phy	338	324
ENSMUSG00000022949.phy	1292	1187
ENSMUSG00000022952.phy	293	293
ENSMUSG00000022956.phy	497	1624
ENSMUSG00000022957.phy	16062	15999
ENSMUSG00000022961.phy	15921	15840
ENSMUSG00000022962.phy	758	719
ENSMUSG00000022964.phy	1023	171
ENSMUSG00000022965.phy	304	698
ENSMUSG00000022972.phy	347	351
ENSMUSG00000022973.phy	11050	10977
ENSMUSG00000022974.phy	2467	2527
ENSMUSG00000022982.phy	313	325
ENSMUSG00000022983.phy	5984	6028
ENSMUSG00000022986.phy	732	680
ENSMUSG00000022993.phy	390	394
ENSMUSG00000022994.phy	4543	4528
ENSMUSG00000022996.phy	973	323
ENSMUSG00000022997.phy	145	145
ENSMUSG00000022999.phy	2285	2510
ENSMUSG00000023000.phy	1105	1835
ENSMUSG00000023007.phy	8443	8468
ENSMUSG00000023008.phy	4183	4212
ENSMUSG00000023009.phy	468	472
ENSMUSG00000023011.phy	353	1037
ENSMUSG00000023013.phy	148	148
ENSMUSG00000023015.phy	709	492
ENSMUSG00000023017.phy	3702	4550
ENSMUSG00000023018.phy	1701	1092
ENSMUSG00000023019.phy	157	157
ENSMUSG00000023022.phy	1291	1282
ENSMUSG00000023026.phy	10650	16151
ENSMUSG00000023027.phy	475	425
ENSMUSG00000023030.phy	1094	1018
ENSMUSG00000023031.phy	732	744
ENSMUSG00000023032.phy	5530	5537
ENSMUSG00000023033.phy	3426	3582
ENSMUSG00000023034.phy	1975	2379
ENSMUSG00000023039.phy	293	268
ENSMUSG00000023043.phy	911	1018
ENSMUSG00000023044.phy	1120	1138
ENSMUSG00000023045.phy	1611	1641
ENSMUSG00000023046.phy	946	458
ENSMUSG00000023047.phy	3120	3339
ENSMUSG00000023048.phy	747	885
ENSMUSG00000023050.phy	4798	4398
ENSMUSG00000023051.phy	4113	4088
ENSMUSG00000023052.phy	501	502
ENSMUSG00000023057.phy	338	317
ENSMUSG00000023067.phy	905	534
ENSMUSG00000023068.phy	1696	1689
ENSMUSG00000023070.phy	899	890
ENSMUSG00000023072.phy	2271	2592
ENSMUSG00000023073.phy	2067	1795
ENSMUSG00000023075.phy	799	710
ENSMUSG00000023084.phy	4601	4814
ENSMUSG00000023087.phy	970	960
ENSMUSG00000023088.phy	16278	13484
ENSMUSG00000023089.phy	286	299
ENSMUSG00000023092.phy	1504	1253
ENSMUSG00000023094.phy	1254	1237
ENSMUSG00000023104.phy	217	581
ENSMUSG00000023106.phy	320	323
